"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -5532.464828401 -5625.03175559936 -5609.47934437602 -5427.42258828062 -5178.5571887565 -5750.18865443748 -5480.67774944479 -5470.28966856316 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA -5292.84973810783 -5523.11162468988 -5819.80887263684 -6042.32922787505 -6230.70397978063 -6096.05234458221 -6000.33260276863 -5505.57298879039 -5238.59970828062 -5407.22083174364 -5405.38719252338 -5211.39777307819 -5286.09613293946 -5279.70517375361 -5273.31421456776 NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA -5280.6223272383 -5290.47220915558 -5527.18394229825 -5400.05840896703 -5395.59777544669 -5720.26937046383 -5708.93944629631 -5266.09342193627 -5329.89985998517 -5995.91663489081 -5958.12841359126 -5442.71217946929 -5157.94836653711 -5086.46123675528 -5080.07027756943 -5073.67931838358 -5067.28835919773 -5060.89740001188 NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA -5440.29396284568 -5454.67443307391 -5002.53401031486 -5554.34160450016 -5929.395806664 -5702.76743278117 -5649.89705513646 -5684.55378728352 -5668.38671145801 -5652.21963563251 -5603.45941458347 -5477.00498541265 -5407.78490458696 -5735.32379579515 -5118.93763571089 -5075.15151233648 -5045.19391101109 -5015.23630968569 -4989.43860148265 -4984.60680661047 -4979.77501173829 -5141.29245815834 NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA -5524.62182262452 -5417.73967520866 -5433.79396135288 -5449.8482474971 -5462.50475496158 -5576.48341068643 -5690.46206641127 -5330.90026822054 -5410.86279945366 -5520.89113989339 -5507.46892157401 -5553.99901894187 -5605.10667885797 -5444.42562008209 -5642.4068500697 -5274.14913425801 -5522.78194649378 -5341.64310374117 -5320.94392372268 -5300.24474370419 -5279.5455636857 -5112.12149301662 -4984.93103620019 -5119.8271515051 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA -5587.62610719508 -5562.34580292987 -5332.52792543769 -5348.58221158191 -5385.24732606873 -5692.23273858495 -5999.21815110117 -6012.19943206847 -5483.57437085257 -5386.41716677058 -5405.52070125018 -5842.14260124462 -5506.03013047578 -5268.17889293834 -5174.72939164635 -5593.59946836254 -5460.64996935666 -5327.70047035078 -5681.00047675101 -5476.67826102912 -5290.89194078186 -5205.38513285241 -5223.01843844131 -5210.14769547317 -5363.07980778762 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA -5650.63039176563 -5625.72550577819 -5482.56255034508 -5247.31617566672 -5263.37046181094 -5472.09333086418 -5779.0787433804 -6086.06415589663 -6393.04956841285 -5655.28497022322 -5302.65506578768 -5145.70829051711 -5285.05871451859 -5423.92859128771 -5302.67058569783 -5245.73318106334 -5212.01019161962 -5171.07564023613 -5108.64734808574 -5176.18372040028 -5243.72009271482 -5279.71624329595 -5297.43870523238 -5315.1611671688 -5438.37967382793 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA -5728.56781839505 -5713.63467633618 -5689.10520862652 -5661.17177905061 -5376.21842528664 -5162.10442589575 -5251.95392314341 -5558.93933565963 -5865.92474817585 -5430.91250469549 -5401.72895422062 -5372.54540374576 -5343.36185327089 -5300.84256784928 -5962.27413813992 -5889.69852144171 -5262.71225704779 -5239.33438893347 -5240.39594955598 -5670.17575760427 -5279.87406848678 -5165.47499817648 -5225.13625582052 -5284.79751346455 -5344.12150208105 -5273.87923227835 -5665.47131959195 NA NA NA NA
NA NA NA NA NA NA NA NA NA -5791.5721029656 -5776.63896090673 -5752.48491147484 -5724.55148189893 -5607.22679320801 -5269.87430022821 -5076.89267612478 -5338.79992793886 -5206.54003916776 -5177.3564886929 -5148.17293821803 -5332.98027999038 -5241.89985766883 -5307.48918274238 -5584.69208889346 -5518.61614795186 -5756.57138901105 -5835.57668377757 -5788.00416814274 -5391.628809394 -5224.67104517578 -5245.21479039378 -5265.75853561178 -5278.52037514324 -5405.37295976189 -5467.24398708744 -5259.02782401789 -5892.56296535596 NA NA NA
