ID;SiteName;LFSite;SiteType;Country;Period;PhaseCode;LabCode;C14Age;C14SD;Material;MaterialSpecies;AnatomicalParts;Reliability;tpq;taq;Longitude;Latitude;bib;bib_url;;
2255;Piano Vento;Piano Vento;OP;Italy;EN;Sector A9C;A-4473;5040;120;wood charcoal;n/d;n/a;;-4223;-3536;13,5667;37,3167;Giannitrapani 2009;Giannitrapani09;;
2254;Piano Vento;Piano Vento;OP;Italy;EN;Sector A10;A-4474;6130;90;wood charcoal;n/d;n/a;;-5305;-4837;13,5667;37,3167;Giannitrapani 2009;Giannitrapani09;;
3115;Hort en Grimau;;OP;Spain;MN;E8;A-464;5250;65;wood charcoal;n/d;n/a;;-4311;-3956;1,61;41,339;Manen & Sabatier 2003;https://doi.org/10.3406/bspf.2003.12868;;
3114;Hort en Grimau;;OP;Spain;MN;E17;A-465;5270;65;wood charcoal;n/d;n/a;;-4314;-3966;1,61;41,339;Manen & Sabatier 2003;https://doi.org/10.3406/bspf.2003.12868;;
1300;Halai;;;Greece;Middle Neolithic (later);;A-7264;6980;170;wood charcoal;n/d;n/a;;-6222;-5566;23,182545;38,663385;;;;
1295;Halai;;;Greece;Middle Neolithic (later);;A-7265;7070;165;wood charcoal;n/d;n/a;;-6330;-5633;23,182545;38,663385;;;;
1293;Halai;;;Greece;Middle Neolithic (earlier);;A-7266;7285;145;wood charcoal;n/d;n/a;;-6435;-5890;23,182545;38,663385;;;;
1304;Halai;;;Greece;Middle Neolithic (earlier);;A-7267;6905;90;wood charcoal;n/d;n/a;;-5982;-5636;23,182545;38,663385;;;;
1290;Halai;;;Greece;Middle Neolithic (earlier);;A-7268;7530;200;wood charcoal;n/d;n/a;;-7025;-5991;23,182545;38,663385;;;;
1303;Halai;;;Greece;Middle Neolithic (later);;A-7270;6935;170;wood charcoal;n/d;n/a;;-6214;-5486;23,182545;38,663385;;;;
1292;Halai;;;Greece;Early Neolithic (late)-Middle Neolithic (early);;A-7271;7325;160;wood charcoal;n/d;n/a;;-6474;-5851;23,182545;38,663385;;;;
