Code_Region;Region / Country;Department / District;Municipality;Site;Cultural_complex;Cultural_aspect;Event_id.;Method_1;Lab_count_id.;14C_age_BP;STD;Curve;Method_2;Material;Generic_Specific_id.;Anatomical_id.;Identified_by;Reference(s);Comment_1;STD_accuracy;Accuracy_score;Material_reliability;Reliability_score;Quality_score;Comment_2;HPD_IntCal20;ChronoModel_id.;BMAP_EMAP;MACT-1;MACT-2;MACT-3
CWM_C051;Corse (FR);Corse-du-Sud;Sollacaro;Campu Stefanu (abri de);EME;Early Mesolithic;C051_CST#Burial#A;14C;AA-097;7920;35;intcal20.14c;AMS;Bone bioapatite;Homo sapiens;Femur;P. Courtaud;Courtaud et al. 2014;_;HIGH;4;BULK;1;4;_;"[ -7031 ; -6652 ]";na;na;;;
CWM_C051;Corse (FR);Corse-du-Sud;Sollacaro;Campu Stefanu (abri de);EME;Early Mesolithic;C051_CST#US-119;14C;AA-098;7700;30;intcal20.14c;AMS;Bone bioapatite;Prolagus sp.;na;P. Courtaud;Courtaud et al. 2014;_;HIGH;4;BULK;1;4;_;"[ -6595 ; -6463 ]";na;na;;;
CWM_D041;Auvergne-Rhône-Alpes (FR);Drôme;Espeluche;Lalo;NA;Natural deposit;D041_LAL#Sed-Phase-8C_US-5;14C;AA-24896;6895;60;intcal20.14c;AMS;Charcoal;na;na;na;Berger et al. 2016;_;GOOD;3;OWE;2;6;_;"[ -5966 ; -5662 ]";D041_LAL;na;;;
CWM_D041;Auvergne-Rhône-Alpes (FR);Drôme;Espeluche;Lalo;NA;Natural deposit;D041_LAL#Sed-Phase-9B_US-42;14C;AA-24897;6705;60;intcal20.14c;AMS;Charcoal;na;na;na;Berger et al. 2016;_;GOOD;3;OWE;2;6;_;"[ -5720 ; -5484 ]";D041_LAL;na;;;
CWM_D041;Auvergne-Rhône-Alpes (FR);Drôme;Espeluche;Lalo;NA;Natural deposit;D041_LAL#Sed-Phase-5_US-64B;14C;AA-24898;7535;65;intcal20.14c;AMS;Charcoal;na;na;na;Berger et al. 2016;_;GOOD;3;OWE;2;6;_;"[ -6473 ; -6238 ]";D041_LAL;na;;;
CWM_D041;Auvergne-Rhône-Alpes (FR);Drôme;Espeluche;Lalo;ICC;Cardial (LAL-N1/2);D041_LAL#Sed-Phase-10_ditch_pit-76;14C;AA-32638;6560;65;intcal20.14c;AMS;Charcoal;na;na;na;Berger et al. 2016;_;GOOD;3;OWE;2;6;_;"[ -5622 ; -5379 ]";D041_LAL;"[-5589 ; -5373] ";5540;;
CWM_D041;Auvergne-Rhône-Alpes (FR);Drôme;Espeluche;Lalo;ICC;Cardial (LAL-N1/2);D041_LAL#Sed-Phase-10_ditch_pit-73;14C;AA-32639;6420;65;intcal20.14c;AMS;Charcoal;na;na;na;Berger et al. 2016;_;GOOD;3;OWE;2;6;_;"[ -5480 ; -5219 ]";D041_LAL;"[-5589 ; -5373] ";5540;;
CWM_D041;Auvergne-Rhône-Alpes (FR);Drôme;Espeluche;Lalo;ICC;Cardial (LAL-N1/2);D041_LAL#Sed-Phase-9D_ditch_pit-120;14C;AA-32641;6585;60;intcal20.14c;AMS;Charcoal;na;na;na;Berger et al. 2016;_;GOOD;3;OWE;2;6;_;"[ -5627 ; -5407 ]";D041_LAL;"[-5589 ; -5373] ";5540;;
CWM_D041;Auvergne-Rhône-Alpes (FR);Drôme;Espeluche;Lalo;CST;Castelnovian;D041_LAL#Sed-Phase-6A_Z1/6/G3-5_Hearth;14C;AA-32642;7315;65;intcal20.14c;AMS;Charcoal;na;na;na;Berger et al. 2016;_;GOOD;3;OWE;2;6;_;"[ -6367 ; -6029 ]";D041_LAL;na;6150;;
CWM_D041;Auvergne-Rhône-Alpes (FR);Drôme;Espeluche;Lalo;EPI_GZ3;Epicardial (LAL-N4);D041_LAL#Sed-Phase-17_cobbling-8;14C;AA-32644;6220;60;intcal20.14c;AMS;Charcoal;na;na;na;Berger et al. 2016;_;GOOD;3;OWE;2;6;_;"[ -5309 ; -5012 ]";D041_LAL;"[-5200 ; -5079]";5130;;
