num	nom
1	Achilleion
2	Agios Petros
3	Aktopraklık
4	Argissa
5	Aşağı Pınar
6	Aşıklı Höyük
7	Azmak
8	Bademağacı
9	Barcın Höyük
10	Can Hasan I
11	Can Hasan III
12	Çatalhöyük East
13	Çatalhöyük West
14	Čavdar
15	Çukuriçi Höyük
16	Cyclops Cave
17	Dikili Tash
18	Dobrinište
19	Ege Gübre
20	Elateia
21	Elešnica
22	Erbaba
23	Franchthi Cave
24	Franchthi Koilada Bay
25	Gălăbnik
26	Hacılar
27	Halai
28	Hoca Çeşme
29	Höyücek
30	Ilıpınar
31	Kaletepe
32	Karain Cave
33	Karanovo
34	Kazanlăk
35	Knossos
36	Kovačevo
37	Kremenik
38	Kuruçay
39	Makri
40	Maroulas 
41	Menteşe Höyük
42	Mersin-Yumuktepe
43	Musular
44	Nea Nikomedeia
45	Otzaki Magoula
46	Pınarbaşı B
47	Platia Magoula Zarkou
48	Servia
49	Servia-Varytimides
50	Sesklo
51	Sofia-Slatina
52	Stara Zagora – Okražna Bolnica
53	Suberde
54	Tepecik-Çiftlik
55	Theopetra Cave
56	Uğurlu
57	Ulucak Höyük
58	Yarimburgaz Cave
59	Yeşilova Höyük
