"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"Abri des Castelli"	3	"Beta-332596"	9.033342	42.255492	"EN"	-5588	3	"Csb"
"neonet"	"Abri des Correardes"	4	"Ly-7077"	5.7	44.6667	"EN"	-5415	4	"Dfb"
"neonet"	"Abric de la Falguera"	5	"Beta-142289"	-0.5881	38.6662	"EN"	-5462	5	"BSk"
"neonet"	"Abrigo de Mendandia"	13	"GrN-22741"	-2.596431	42.717506	"EN"	-5500	13	"Csb"
"neonetatl"	"Almonda (Galeria da Cisterna)"	20	"OxA-9287"	-8.3648	39.3013	"EN"	-5411	20	"Csa"
"neonet"	"Arene Candide"	22	"Beta-66553"	8.32828	44.162304	"EN"	-5766	22	"Cfa"
"neonet"	"Arene Candide"	23	"Lj-4143"	8.32828	44.162304	"EN"	-5766	23	"Cfa"
"neonet"	"Arma dell'Aquila"	24	"Ly-14593"	8.32967	44.204708	"EN"	-5707	24	"Cfa"
"neonet"	"Arma dello Stefanin"	25	"Bln-3276"	8.0021	44.1044	"EN"	-5549	25	"Cfa"
"neonet"	"Arma di Nasino"	26	"R-313"	8.03115	44.112705	"EN"	-5390	26	"Cfa"
"neonet"	"Balma Margineda"	29	"Beta-398960"	1.487	42.4824	"EN"	-5598	29	"Csb"
"neonet"	"Baratin"	30	"Ly-4725"	4.8526	44.09385	"EN"	-5328	30	"Csa"
"neonet"	"Bazzarola"	31	"Beta-170023"	10.607877	44.690892	"EN"	-5329	31	"Cfa"
"bda"	"Bella"	32	"Gif-4375"	12.482	42.646	"EN"	-5408	32	"Csa"
"agrichange"	"Blachettes Sud"	33	"Ly-2794"	0.503886111	40.82166667	"EN"	-5354	33	"Csa"
"agrichange"	"Bonica"	34	"OxA-23440"	1.932166	41.387861	"EN"	-5633	34	"Csa"
"neonetatl"	"Cabranosa"	38	"Sac-1321"	-8.9666	37.0471	"EN"	-5812	38	"Csa"
"neonetatl"	"Caldeirão"	40	"Wk-38578"	-8.2454	39.3854	"EN"	-5416	40	"Csa"
"bda"	"Can Roqueta"	44	"Beta-x1"	2.103195	41.547773	"EN"	-5374	44	"Cfa"
"agrichange"	"Can Roqueta II"	45	"Beta-189076"	2.13049975470855	41.539613	"EN"	-5374	45	"Cfa"
"neonet"	"Can Sadurni"	46	"OxA-15488"	1.912258	41.345381	"EN"	-5400	46	"Csa"
"neonet"	"Cap Ragnon"	48	"Ly-4173(SacA-7430)"	5.25	43.367	"EN"	-5420	48	NA
"neonetatl"	"Casa Montero"	50	"Beta-206512"	-3.526404	40.40427	"EN"	-5386	50	"BSk"
"neonet"	"Cascina Cascinetta"	54	"Beta-71945"	9.086047	45.066467	"EN"	-5313	54	"Cfa"
"neonet"	"Catignano"	57	"R-1147"	13.943843	42.34267	"EN"	-5427	57	"Cfa"
"neonet"	"Cialdino"	62	"n/a-1"	11.451691	44.144749	"EN"	-5417	62	"Cfb"
"neonetatl"	"Clos des Poujol"	63	"Ly-2670 (GrA)"	3.0636	44.38473	"EN"	-5542	63	"Cfb"
"neonet"	"Cocci"	64	"GX-29098"	12.5106	42.5157	"EN"	-5633	64	"Cfa"
"neonet"	"Continenza"	67	"R-549"	13.563071	41.961674	"EN"	-6099	67	"Csa"
"neonet"	"Correge-Leucate"	69	"MC-788"	3.0507	42.8958	"EN"	-5697	69	NA
"neonetatl"	"Correio-Mor"	70	"ICEN-1099"	-9.1137	38.4936	"EN"	-5324	70	NA
"neonet"	"Cova Fosca"	76	"Beta-149009"	-0.13224	40.45999	"EN"	-5363	76	"Csa"
"neonet"	"Cova Fosca Vall Ebo"	77	"OxA-26047"	-0.163287	38.800601	"EN"	-5391	77	"BSk"
"neonet"	"Cova Freda de Montserrat"	78	"Beta-508800"	1.832708	41.57355	"EN"	-5385	78	"Csa"
"neonet"	"Cova Gran de Montserrat"	80	"Beta-508799"	1.831669	41.573736	"EN"	-5350	80	"Csa"
"calpal"	"Cova de l'Or"	82	"Beta-136677"	-0.364154	38.84465	"EN"	-5787	82	"BSk"
"neonet"	"Cova de la Sarsa"	84	"OxA-26076"	-0.58196	38.756766	"EN"	-5434	84	"BSk"
