"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"brami15"	"Achilleion"	1	"LJ–3180"	22.42	39.25	"EN"	-6372	1	"BSk"
"brami15"	"Aktopraklik"	2	"OxA-20596"	28.7277	40.1718	"EN"	-6314	2	"Csa"
"radon"	"Anzabegovo"	3	"LJ-2519"	22	41	"EN"	-6413	3	"BSk"
"brami15"	"Argissa"	4	"UCLA-1657A"	22.343997	39.659064	"EN"	-7127	4	"BSk"
"calpal"	"Asprokremnos"	6	"Hd-27217"	33.48	35.07	"EN"	-8907	6	"BSh"
"brami15"	"Bademagaci"	8	"Hd-22340"	30.48	37.4	"EN"	-6865	8	"BSk"
"brami15"	"Barcin"	9	"GrA-52848"	29.53	40.21	"EN"	-6541	9	"Csa"
"brami15"	"Can Hasan"	10	"HU-11"	33.3667	37.25	"EN"	-7603	10	"BSk"
"brami15"	"Catalhuyuk"	11	"PL-980525-A"	32.81	37.65	"EN"	-7431	11	"BSk"
"brami15"	"Cukurici"	14	"Erl-14514"	27.352	37.931	"EN"	-6795	14	"Csa"
"brami15"	"Cyclops Cave"	15	"DEM-597"	24.15703	39.371388	"EN"	-8500	15	NA
"katsianis"	"Delphinos"	16	"GrN-22437"	24.293122	35.355486	"EN"	-6809	16	"Csa"
"katsianis"	"Dimitra"	17	"Bln-3189"	23.864148	40.976793	"EN"	-6328	17	"BSk"
"brami15"	"Elateia"	19	"GrN-2933"	22.768689	38.627448	"EN"	-7265	19	"Csa"
"brami15"	"Erbaba"	20	"AA-66741"	31.68	37.76	"EN"	-6524	20	"Dsa"
"brami15"	"Franchthi"	22	"P-2103"	23.13503	37.4183	"EN"	-8538	22	NA
"katsianis"	"Giannitsa B"	23	"DEM-961"	22.413079	40.788133	"EN"	-6383	23	"BSk"
"brami15"	"Knossos"	28	"OxA-9215"	25.163	35.298	"EN"	-6875	28	"Csa"
"katsianis"	"Lefkopetra"	33	"DEM-1428"	22.175805	40.41971	"EN"	-6572	33	"Cfa"
"brami15"	"Maroulas"	36	"DEM-?"	24.4334	37.4167	"EN"	-8975	36	NA
"katsianis"	"Mavropigi"	37	"DEM-1685"	21.735498	40.467846	"EN"	-6577	37	"Cfa"
"katsianis"	"Megalo Nisi Galanis"	38	"Beta-098971"	21.882193	40.379387	"EN"	-6205	38	"Cfa"
"brami15"	"Mentese"	39	"GrN-25819"	29.51	40.26	"EN"	-6412	39	"Csa"
"brami15"	"Nea Nikomedeia"	40	"P-1202"	22.266226	40.603447	"EN"	-6405	40	"BSk"
"katsianis"	"Orfeas"	41	"DEM-1999"	24.006114	41.023839	"EN"	-6469	41	"Cfa"
"katsianis"	"Paliambela"	42	"DEM-2460"	22.508219	40.510965	"EN"	-6529	42	"BSk"
"calpal"	"Pinarbasi A"	43	"OxA-5499"	33.03	37.48	"EN"	-8260	43	"BSk"
"brami15"	"Pinarbasi B"	44	"OxA-5504"	33.03	37.48	"EN"	-6313	44	"BSk"
"katsianis"	"Sarkenos"	50	"Poz-22183"	23.2333	38.4666	"EN"	-6893	50	"Csa"
"brami15"	"Sesklo"	53	"P-1681"	22.8167	39.3833	"EN"	-6593	53	"BSk"
"katsianis"	"Sidari"	54	"Lyon-3169"	19.698615	39.780078	"EN"	-6383	54	"Csa"
"brami15"	"Suberde"	56	"OS-62227"	31.93	37.35	"EN"	-7309	56	"Dsa"
"brami15"	"Theopetra"	57	"DEM-577"	21.67	39.68	"EN"	-8639	57	"Csa"
"brami15"	"Ugurlu"	58	"Wk-29173"	25.706	40.124	"EN"	-6456	58	NA
"katsianis"	"Varemenoi-Goulon"	59	"DEM-1336"	21.900587	40.15207	"EN"	-6376	59	"Cfa"
"brami15"	"Yarimburgaz"	61	"GrN-15531"	28.73	41.08	"EN"	-8424	61	"Csa"
"brami15"	"Yeşilova Höyük"	62	"KN-5811"	27.214665388491	38.441252611	"EN"	-6384	62	"Csa"
