"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"calpal"	"Abu Gosh"	1	"RT-2453"	35.1083	31.8053	"EN"	-8064	1	"Csa"
"calpal"	"Abu Hureyra"	2	"BM-1122"	38.4	35.87	"EN"	-8644	2	"BSk"
"calpal"	"Abu Suwwan"	3	"AA-90095"	35.89	32.27	"EN"	-8263	3	"Csa"
"calpal"	"Ahihud"	4	"RTD-8257"	35.1721	32.9078	"EN"	-8298	4	"Csa"
"calpal"	"Ain Ghazal"	5	"GrN-12965"	35.93	31.93	"EN"	-8260	5	"BSk"
"calpal"	"Ain el-Kerkh"	6	"GrA-22277"	36.46	35.82	"EN"	-8608	6	"Csa"
"calpal"	"Ais Yiorkis"	7	"Beta-213417"	32.56	34.93	"EN"	-7739	7	"Csa"
"calpal"	"Akarçay Tepe"	8	"Beta-138584"	38.0167	36.917	"EN"	-7778	8	"Csa"
"brami15"	"Asikli"	11	"GrN-28617"	34.2295	38.3497	"EN"	-8218	11	"BSk"
"calpal"	"Asprokremnos"	12	"Hd-27217"	33.48	35.07	"EN"	-8907	12	"Csa"
"calpal"	"Aswad"	13	"GrA-25915"	36.53	33.41	"EN"	-8538	13	"BSk"
"calpal"	"Atlit-Yam"	14	"RT-2496, 2497"	34.9	32.54	"EN"	-7169	14	NA
"calpal"	"Azraq 31"	15	"OxA-2412"	36.81	31.83	"EN"	-7309	15	"BWk"
"calpal"	"Bouqraz"	18	"GrN-8262"	40.39	35.02	"EN"	-7460	18	"BWh"
"bda"	"Cafer"	19	"LY-4437"	38.75	38.4167	"EN"	-8097	19	"BSk"
"brami15"	"Can Hasan"	20	"HU-11"	33.3667	37.25	"EN"	-7603	20	"BSk"
"brami15"	"Catal"	21	"PL-980525-A"	32.81	37.65	"EN"	-7431	21	"BSk"
"calpal"	"Cayönü"	22	"GrN-8103"	39.72	38.21	"EN"	-10359	22	"BSk"
"brami15"	"Cyclops Cave"	24	"DEM-597"	24.15703	39.371388	"EN"	-8500	24	NA
"calpal"	"Dhra"	27	"AA-38142"	35.58	31.27	"EN"	-9630	27	"BSk"
"calpal"	"Dhuweila"	28	"OxA-1637"	37.25	32.03	"EN"	-7386	28	"BWk"
"calpal"	"Dja'de"	29	"Ly-12110"	38.1983	36.6638	"EN"	-8976	29	"Csa"
"brami15"	"Franchthi"	34	"P-2103"	23.13503	37.4183	"EN"	-8538	34	NA
"calpal"	"Gesher"	35	"Pta-4553"	35.51	32.65	"EN"	-9586	35	"Csa"
"calpal"	"Ghwair"	36	"Hd-17219"	35.5061	30.623	"EN"	-7907	36	"BSk"
"calpal"	"Gilgal"	37	"Pta-4588"	35.43	32	"EN"	-9412	37	"Csa"
"calpal"	"Gritille"	38	"Beta-13216"	38.57	37.55	"EN"	-7660	38	"BSk"
"calpal"	"Gusir"	39	"KIA-44178"	41.8229	37.7265	"EN"	-9486	39	"BSk"
