"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"A Revellata 1"	1	"Ly-6085"	8.75	42.5667	"EN"	-5245	1	NA
"neonet"	"Abri des Castelli"	2	"Beta-332596"	9.033342	42.255492	"EN"	-5588	2	"Csb"
"neonet"	"Abri des Correardes"	3	"Ly-7077"	5.7	44.6667	"EN"	-5415	3	"Dfb"
"calpal"	"Alsonyek"	5	"OxA-X-2583-19"	18.72	46.16	"EN"	-5780	5	"Cfa"
"neonet"	"Arene Candide"	6	"Beta-66553"	8.32828	44.162304	"EN"	-5766	6	"Cfa"
"neonet"	"Arene Candide"	7	"Lj-4143"	8.32828	44.162304	"EN"	-5766	7	"Cfa"
"neonet"	"Arma dell'Aquila"	8	"Ly-14593"	8.32967	44.204708	"EN"	-5707	8	"Cfa"
"neonet"	"Arma dello Stefanin"	9	"Bln-3276"	8.0021	44.1044	"EN"	-5549	9	"Cfa"
"neonet"	"Arma di Nasino"	10	"R-313"	8.03115	44.112705	"EN"	-5390	10	"Cfa"
"calpal"	"Balatonszárszó"	12	"OxA-13655"	17.84	46.79	"EN"	-5310	12	"Cfa"
"neonet"	"Balsignano"	13	"KIA-?"	16.794123	41.066968	"EN"	-5517	13	NA
"neonet"	"Bazzarola"	14	"Beta-170023"	10.607877	44.690892	"EN"	-5329	14	"Cfa"
"calpal"	"Beli Manastir-Popova zemlja"	15	"Poz-90129"	18.57	45.76	"EN"	-5728	15	"Cfa"
"bda"	"Bella"	16	"Gif-4375"	12.482	42.646	"EN"	-5408	16	"Csa"
"calpal"	"Bevilacqua"	17	"P-3047"	16.61	38.92	"EN"	-5393	17	NA
"calpal"	"Biserna Obala Nosa"	18	"OxA-8540"	19.7519	46.0994	"EN"	-5650	18	"Cfa"
"neonet"	"Cala Giovanna-Pianosa"	20	"LTL-1468A"	10.0938	42.589643	"EN"	-5157	20	"Csa"
"neonet"	"Cap Ragnon"	22	"Ly-4173(SacA-7430)"	5.25	43.367	"EN"	-5420	22	NA
"neonet"	"Casalecchio di Reno"	24	"LTL-2436"	11.269892	44.483315	"EN"	-5276	24	"Cfb"
"neonet"	"Cascina Cascinetta"	25	"Beta-71945"	9.086047	45.066467	"EN"	-5313	25	"Cfa"
"neonet"	"Castel Grande di Bellinzona"	26	"B-4565"	9.017	46.2	"EN"	-5255	26	"Dfc"
"neonet"	"Catignano"	27	"R-1147"	13.943843	42.34267	"EN"	-5427	27	"Cfa"
"bda"	"Cavallo"	28	"R-432"	17.956	40.159	"EN"	-5137	28	NA
"neonet"	"Cecima"	29	"OxA-19803"	9.7834	44.8334	"EN"	-5217	29	"Cfa"
"radon"	"Chemin des Collines"	31	"CRG-925"	7.353822	46.232509	"EN"	-5571	31	"Dfc"
"neonet"	"Cialdino"	32	"n/a-1"	11.451691	44.144749	"EN"	-5417	32	"Cfb"
"neonet"	"Ciclami"	33	"R-1040a"	13.8173	45.7075	"EN"	-5266	33	"Cfa"
