"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"Arene Candide"	22	"Beta-66553"	8.32828	44.162304	"EN"	-5766	22	"Cfa"
"neonet"	"Arene Candide"	23	"Lj-4143"	8.32828	44.162304	"EN"	-5766	23	"Cfa"
"neonet"	"Arma dell'Aquila"	24	"Ly-14593"	8.32967	44.204708	"EN"	-5707	24	"Cfa"
"agrichange"	"Bonica"	34	"OxA-23440"	1.932166	41.387861	"EN"	-5633	34	"Csa"
"neonetatl"	"Cabranosa"	38	"Sac-1321"	-8.9666	37.0471	"EN"	-5812	38	"Csa"
"brami15"	"Cauno d'Arques"	58	"Bln–1583"	2.37	42.95	"EN"	-6063	58	"Cfb"
"neonet"	"Cocci"	65	"GX-29098"	12.5106	42.5157	"EN"	-5633	65	"Cfa"
"neonet"	"Continenza"	68	"R-549"	13.563071	41.961674	"EN"	-6099	68	"Csa"
"neonet"	"Correge-Leucate"	70	"MC-788"	3.0507	42.8958	"EN"	-5697	70	NA
"calpal"	"Cova de l'Or"	83	"Beta-136677"	-0.364154	38.84465	"EN"	-5787	83	"BSk"
"neonet"	"Cova de les Cendres"	86	"Beta-75220"	0.152631	38.685691	"EN"	-5642	86	NA
"neonet"	"Cueva de Bajondillo"	97	"Ua-21999"	-4.496648	36.622965	"EN"	-6170	97	"Csa"
"neonetatl"	"Cueva de Carigüela"	98	"Oxa-1131"	-3.431582	37.44239	"EN"	-5887	98	"Csa"
"neonet"	"Cueva de Nerja"	103	"Birm-1113"	-3.844529	36.762871	"EN"	-5867	103	"BSk"
"neonetatl"	"El Retamar"	119	"Sac-1676"	-6.226273	36.57873	"EN"	-6263	119	"Csa"
"neonetatl"	"Encosta de Sant'Ana"	120	"Sac-2004"	-9.137902	38.71563	"EN"	-5769	120	"Csa"
"neonet"	"Fem"	124	"Beta-42867"	0.867881	41.302597	"EN"	-5774	124	"Csa"
"neonet"	"Font-des-Pigeons"	128	"MC-2515"	5.1667	43.3834	"EN"	-5792	128	NA
"neonet"	"Fontbregoua"	129	"Gif-2990"	6.23231	43.5637	"EN"	-5616	129	"Cfb"
"bda"	"Forcas II"	130	"Beta-247405"	0.3402435	42.184362	"EN"	-5652	130	"Csa"
"neonet"	"Gazel"	134	"GrN-6702"	2.421154	43.325325	"EN"	-5795	134	"Cfa"
"bda"	"Gritulu"	137	"LYON-824"	9.425046	42.89037	"EN"	-5723	137	NA
"neonet"	"Grotta Corbeddu"	138	"UtC-1251"	9.48634	40.255253	"EN"	-5605	138	"Csa"
"neonet"	"Grotta Filiestru"	139	"Q-3020"	8.651545	40.453804	"EN"	-5625	139	"Csa"
"neonet"	"Kargadur"	150	"OxA-21092"	13.950637	44.819147	"EN"	-5671	150	NA
"neonet"	"Kronio"	151	"LTL-211A"	13.08	37.51	"EN"	-5870	151	"BSk"
"neonet"	"La Marmotta"	155	"R-2360"	12.2745	42.1044	"EN"	-5740	155	"Csa"
"neonet"	"Le Secche"	160	"LTL-16672A"	10.882	42.381891	"EN"	-5671	160	NA
"neonet"	"Monte Venere"	175	"R-1175"	12.1814	42.3505	"EN"	-5826	175	"Csa"
"neonet"	"Peiro Signado"	186	"Ly-5689(SacA-13451)"	3.32891	43.3083	"EN"	-5801	186	"Csa"
"neonet"	"Pendimoun"	187	"Gif-A101334"	7.505944	43.812212	"EN"	-5689	187	NA
"neonet"	"Pendimoun"	188	"LTL-15941A"	7.505944	43.812212	"EN"	-5689	188	NA
"neonet"	"Pollera"	193	"MC-756"	8.314602	44.200546	"EN"	-5834	193	"Cfa"
"neonet"	"Pont de Roque-Haute"	194	"Ly-7625"	3.36003	43.2927	"EN"	-5970	194	"Csa"
"calpal"	"Pza. Vila Madrid"	199	"Beta-290929"	2.172524	41.384281	"EN"	-8598	199	NA
"neonet"	"Rio Tana"	203	"AECV-2012C"	13.673419	41.940862	"EN"	-5744	203	"Csa"
"bda"	"SHM-1"	211	"SacA-23651 (P-1068)"	10.496	36.019	"EN"	-5713	211	"BSk"
"neonet"	"San Sebastiano di Perti"	215	"OxA-21359"	8.309641	44.184808	"EN"	-5670	215	"Cfa"
"agrichange"	"Sant Llorenc"	217	"Beta-311606"	1.831924	41.252455	"EN"	-5659	217	"Csa"
"neonet"	"Santo Stefano di Ortucchio"	219	"LTL-60A"	13.666385	41.953894	"EN"	-5721	219	"Csa"
"neonet"	"Savignano sul Panaro"	220	"Lj-4649"	11.04242	44.476479	"EN"	-5633	220	"Cfb"
"brami15"	"Senhora da Alegria"	221	"BM-1157"	-8.2346	40.0751	"EN"	-5795	221	"Csa"
"neonet"	"Su Coloru"	225	"Beta-167931"	8.712183	40.661832	"EN"	-5720	225	"Csa"
"bda"	"Uzzo"	230	"OxA-13661"	12.786694	38.109951	"EN"	-6307	230	NA
"neonetatl"	"Vale Marim I"	234	"Beta-373853"	-8.806815	37.9302	"EN"	-6033	234	"Csa"
"neonetatl"	"Vale Pincel I"	235	"Beta-164664"	-8.844087	37.94075	"EN"	-5652	235	"Csa"
