"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"brami15"	"Achilleion"	1	"LJ–3180"	22.42	39.25	"EN"	-6372	1	"BSk"
"brami15"	"Aktopraklik"	2	"OxA-20596"	28.7277	40.1718	"EN"	-6314	2	"Csa"
"radon"	"Anza, Anzabegovo"	3	"LJ-2519"	22	41	"EN"	-6413	3	"BSk"
"calpal"	"Anzabegovo"	4	"LJ-2330/31"	22.0089	41.8304	"EN"	-6041	4	"BSk"
"brami15"	"Argissa"	5	"UCLA-1657A"	22.343997	39.659064	"EN"	-7127	5	"BSk"
"calpal"	"Asprokremnos"	7	"Hd-27217"	33.48	35.07	"EN"	-8907	7	"BSh"
"brami15"	"Bademagaci"	8	"Hd-22340"	30.48	37.4	"EN"	-6865	8	"BSk"
"brami15"	"Barcin"	9	"GrA-52848"	29.53	40.21	"EN"	-6541	9	"Csa"
"brami15"	"Can Hasan"	10	"HU-11"	33.3667	37.25	"EN"	-7603	10	"BSk"
"brami15"	"Cukurici"	11	"Erl-14514"	27.352	37.931	"EN"	-6795	11	"Csa"
"brami15"	"Cyclops Cave"	12	"DEM-597"	24.15703	39.371388	"EN"	-8500	12	NA
"katsianis"	"Delphinos river"	13	"GrN-22437"	24.293122	35.355486	"EN"	-6809	13	"Csa"
"katsianis"	"Dimitra. Serres"	14	"Bln-3189"	23.864148	40.976793	"EN"	-6328	14	"BSk"
"brami15"	"Ege Gübre"	15	"Beta-215599"	27.003397392034	38.7437960565722	"EN"	-6150	15	"Csa"
"brami15"	"Elateia"	16	"GrN-2933"	22.768689	38.627448	"EN"	-7265	16	"Csa"
"brami15"	"Erbaba"	17	"AA-66741"	31.68	37.76	"EN"	-6524	17	"Dsa"
"brami15"	"Franchthi"	18	"P-2103"	23.13503	37.4183	"EN"	-8538	18	NA
"katsianis"	"Fyllotsairi. Mavropigi"	19	"DEM-1685"	21.735498	40.467846	"EN"	-6577	19	"Cfa"
"katsianis"	"Giannitsa B"	20	"DEM-961"	22.413079	40.788133	"EN"	-6383	20	"BSk"
"brami15"	"Halai"	21	"AA-25930"	23.182545	38.663385	"EN"	-6176	21	NA
"brami15"	"Ilipinar"	22	"GrN–19351"	29.3134287097081	40.4582825394025	"EN"	-6047	22	"Csa"
"brami15"	"Knossos"	23	"OxA-9215"	25.163	35.298	"EN"	-6875	23	"Csa"
"katsianis"	"Korinos. Pieria"	25	"VERA-4427A"	22.605291	40.336028	"EN"	-6145	25	NA
"brami15"	"Koumelo Cave. Archangelos, Rhodes"	26	"OxA-20246"	28.134232	36.203044	"EN"	-6120	26	NA
"katsianis"	"Lefkopetra"	28	"DEM-1428"	22.175805	40.41971	"EN"	-6572	28	"Cfa"
"brami15"	"Maroulas"	29	"DEM-?"	24.4334	37.4167	"EN"	-8975	29	NA
"katsianis"	"Megalo Nisi Galanis"	30	"Beta-098971"	21.882193	40.379387	"EN"	-6205	30	"Cfa"
"brami15"	"Nea Nikomedeia"	31	"P-1202"	22.266226	40.603447	"EN"	-6405	31	"BSk"
"katsianis"	"Orfeas cave. Alistrati"	32	"DEM-1999"	24.006114	41.023839	"EN"	-6469	32	"Cfa"
"katsianis"	"Paliambela. Pieria"	33	"DEM-2460"	22.508219	40.510965	"EN"	-6529	33	"BSk"
"calpal"	"Pinarbasi"	34	"OxA-5499"	33.03	37.48	"EN"	-8260	34	"BSk"
"radon"	"Porodin"	36	"KN-1596"	21.483333	40.883333	"EN"	-6112	36	"Dfb"
"katsianis"	"Porta. Ksirolimni Kozani"	37	NA	21.654753	40.269799	"EN"	-6153	37	"Cfa"
"katsianis"	"Sarkenos"	38	"Poz-22183"	23.2333	38.4666	"EN"	-6893	38	"Csa"
"brami15"	"Sesklo"	41	"P-1681"	22.8167	39.3833	"EN"	-6593	41	"BSk"
"katsianis"	"Sidari"	42	"Lyon-3169"	19.698615	39.780078	"EN"	-6383	42	"Csa"
"brami15"	"Suberde"	43	"OS-62227"	31.93	37.35	"EN"	-7309	43	"Dsa"
"brami15"	"Ugurlu"	44	"Wk-29173"	25.706	40.124	"EN"	-6456	44	NA
"katsianis"	"Varemenoi-Goulon"	45	"DEM-1336"	21.900587	40.15207	"EN"	-6376	45	"Cfa"
"radon"	"Vrsnik-Tarinci"	46	"Bln-339"	22.15	41.75	"EN"	-5834	46	"BSk"
"brami15"	"Çatalhöyük"	47	"PL-980525A"	32.81	37.65	"EN"	-7431	47	"BSk"
"bda"	"Çatalhöyük"	48	"PL-980525-A"	32.81	37.65	"EN"	-7431	48	"BSk"
