"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"brami15"	"Argissa"	5	"UCLA-1657A"	22.343997	39.659064	"EN"	-7127	5	"BSk"
"calpal"	"Asprokremnos"	7	"Hd-27217"	33.48	35.07	"EN"	-8907	7	"Csa"
"brami15"	"Bademagaci"	8	"Hd-22340"	30.48	37.4	"EN"	-6865	8	"Csa"
"brami15"	"Can Hasan"	10	"HU-11"	33.3667	37.25	"EN"	-7603	10	"BSk"
"brami15"	"Cukurici"	11	"Erl-14514"	27.352	37.931	"EN"	-6795	11	"Csa"
"brami15"	"Cyclops Cave"	12	"DEM-597"	24.15703	39.371388	"EN"	-8500	12	NA
"katsianis"	"Delphinos river"	13	"GrN-22437"	24.293122	35.355486	"EN"	-6809	13	"Csa"
"brami15"	"Elateia"	16	"GrN-2933"	22.768689	38.627448	"EN"	-7265	16	"Csa"
"brami15"	"Franchthi"	18	"P-2103"	23.13503	37.4183	"EN"	-8538	18	NA
"brami15"	"Knossos"	23	"OxA-9215"	25.163	35.298	"EN"	-6875	23	"Csa"
"brami15"	"Maroulas"	29	"DEM-?"	24.4334	37.4167	"EN"	-8975	29	NA
"calpal"	"Pinarbasi"	34	"OxA-5499"	33.03	37.48	"EN"	-8260	34	"BSk"
"katsianis"	"Sarkenos"	38	"Poz-22183"	23.2333	38.4666	"EN"	-6893	38	"Csa"
"brami15"	"Suberde"	43	"OS-62227"	31.93	37.35	"EN"	-7309	43	"Dsa"
"brami15"	"Çatalhöyük"	47	"PL-980525A"	32.81	37.65	"EN"	-7431	47	"BSk"
"bda"	"Çatalhöyük"	48	"PL-980525-A"	32.81	37.65	"EN"	-7431	48	"BSk"
