"sourcedb","SiteName","LabCode","C14Age","C14SD","db_period","db_culture","Period","lon","lat","colors","median","tpq","taq"
"radon","Bylany","BM-562",6184,89,"3. Phase der Periode I","Linienbandkeramik","EN",15.25,49.966666666667,NA,-5295,-4720,-5474
"radon","Ulm-Eggingen","Hv-14734",6010,60,"4","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5032,-4617,-5213
"radon","Ulm-Eggingen","Hv-12982",5960,90,"5","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5040,-4454,-5297
"radon","Ulm-Eggingen","Hv-13601",5995,60,"5","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5015,-4610,-5211
"radon","Ulm-Eggingen","Hv-14725",6135,105,"5","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5284,-4610,-5474
"radon","Ulm-Eggingen","Hv-14724",6035,105,"5","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5192,-4465,-5369
"radon","Ulm-Eggingen","Hv-14722",6100,270,"5","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5459,-4000,-5838
"radon","Ulm-Eggingen","Hv-13600",6205,60,"5","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5288,-4844,-5464
"radon","Ulm-Eggingen","Hv-14732",6500,100,"5","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5602.05,-5046,-5731
"radon","Ulm-Eggingen","Hv-13599",5960,60,"5","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-4978,-4547,-5206
"radon","Ulm-Eggingen","Hv-13596",6245,120,"6 (Baden-Württemberg)","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5423,-4707,-5617
"radon","Ulm-Eggingen","Hv-14729",5980,200,"6","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5273,-4078,-5612
"radon","Ulm-Eggingen","Hv-14728",5965,200,"6","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5264,-4062,-5608
"radon","Ulm-Eggingen","Hv-14727",6390,170,"6","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5592,-4690,-5873
"radon","Ulm-Eggingen","Hv-14731",6125,235,"7","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5442,-4244,-5737
"radon","Ulm-Eggingen","Hv-14730",6120,150,"7","Linienbandkeramik","EN",9.8789670000003,48.363365,NA,-5320,-4449,-5610
"calpal","Knossos","OxA-21418",7735,40,"Aceramic","Aceramic","EN",25.1633,35.298,NA,-6633,-6431,-6736
"radon","Ostoros","Bln-549",6180,100,"Alföld-LBK. jüngere","Linienbandkeramik","EN",20.433333,47.866667,NA,-5306,-4707,-5477
"radon","Szamossályi","Bln-404",6136,100,"Alföld-LBK. späte","Linienbandkeramik","EN",22.6,47.883333,NA,-5280,-4618,-5473
"radon","Tarnabod","Bln-123",6280,100,"Alföld-LBK. späte","Linienbandkeramik","EN",20.216667,47.683333,NA,-5437,-4792,-5612
"radon","Tiszavasvári-Keresztfal","Bln-505",6305,100,"Alföld-LBK","Linienbandkeramik","EN",21.383333,47.966667,NA,-5450,-4799,-5617
"radon","Tiszavasvári-Keresztfal","Hv-1329",6155,95,"Alföld-LBK","Linienbandkeramik","EN",21.383333,47.966667,NA,-5286,-4700,-5473
"radon","Priština","Bln-435",6280,80,"Älter","Vinča culture","EN",21.15,42.65,NA,-5395,-4846,-5520
"radon","Westeregeln","Bln-42",6045,100,"ältere bis mittlere LBK","Linienbandkeramik","EN",11.4,51.9666667,NA,-5191,-4508,-5367
"radon","Westeregeln","Bln-92",6140,100,"ältere bis mittlere LBK","Linienbandkeramik","EN",11.4,51.9666667,NA,-5279.05,-4620,-5473
"radon","Niedermerz 3","KN-2124",6210,60,"ältere LBK (Phase Ic)","Linienbandkeramik","EN",6.2666667,50.8833333,NA,-5290,-4845,-5465
"radon","Frimmersdorf","UtC-7179",6230,70,"ältere LBK, Stilphase 2a (vgl. Stehli 1994, 135 Abb. 36).","Linienbandkeramik","EN",6.5745449066162,51.046790263622,NA,-5310,-4841,-5473
"radon","Frimmersdorf","UtC-7222",6190,60,"ältere LBK, Stilphase 2a (vgl. Stehli 1994, 135 Abb. 36).","Linienbandkeramik","EN",6.5745449066162,51.046790263622,NA,-5281,-4839,-5373
"radon","Frimmersdorf","UtC-7180",6180,70,"ältere LBK, Stilphase 2a (vgl. Stehli 1994, 135 Abb. 36).","Linienbandkeramik","EN",6.5745449066162,51.046790263622,NA,-5282,-4792,-5466
"radon","Schwanfeld","KN-3040",7100,500,"ältere LBK","Linienbandkeramik","EN",10.141839981079,49.917989494433,NA,-6924.05,-4402,-7593
"radon","Duderstadt","H-919/889",6422,100,"ältere LBK","Linienbandkeramik","EN",10.283333,51.516667,NA,-5538,-4953,-5702
"radon","Eitzum 2","KI-3370",6730,170,"ältere LBK","Linienbandkeramik","EN",10.818400382996,52.138492827727,NA,-5918,-5050,-6220
"radon","Schwanfeld","KN-3041/2/3",6700,190,"ältere LBK","Linienbandkeramik","EN",10.141839981079,49.917989494433,NA,-5913,-4946,-6226
"radon","Eitzum 2","KI-3371",6400,240,"ältere LBK","Linienbandkeramik","EN",10.818400382996,52.138492827727,NA,-5687,-4449,-6057
"radon","Bruchenbrücken 1","Hd-13894",6005,65,"ältere LBK","Linienbandkeramik","EN",8.7902212142945,50.298571734041,NA,-5036,-4607,-5214
"radon","Schwanfeld","Hd-14032",6240,55,"ältere LBK","Linienbandkeramik","EN",10.141839981079,49.917989494433,NA,-5302,-4936,-5469
"radon","Schwanfeld","Hd-14031",6380,100,"ältere LBK","Linienbandkeramik","EN",10.141839981079,49.917989494433,NA,-5483,-4906,-5634
"radon","Gerlingen","KN-2295",6390,160,"ältere LBK","Linienbandkeramik","EN",9.0631628036499,48.799542546443,NA,-5585,-4713,-5826
"radon","Schwanfeld","KN-3192",6060,170,"ältere LBK","Linienbandkeramik","EN",10.141839981079,49.917989494433,NA,-5302,-4344,-5610
"radon","Wang-Ziegelberg","KN-3738",6370,160,"ältere LBK","Linienbandkeramik","EN",11.920251846314,48.497099500893,NA,-5562,-4704,-5782
"radon","Schwanfeld","KN-3245",6520,65,"ältere LBK","Linienbandkeramik","EN",10.141839981079,49.917989494433,NA,-5600,-5217,-5663
"radon","Wang-Ziegelberg","KI-2597",6390,100,"ältere LBK","Linienbandkeramik","EN",11.920251846314,48.497099500893,NA,-5506,-4936,-5654
"radon","Jüterbog-Damm, Fpl. 17","Bln-2562",6080,70,"ältere LBK","Linienbandkeramik","EN",13.0666667,51.9833333,NA,-5193,-4704,-5311
"radon","Mohelnice","Bln-102/102a",6345,100,"ältere LBK","Linienbandkeramik","EN",16.91875,49.776722,NA,-5466,-4846,-5625
"radon","Bruchenbrücken 1","KI-2598",6370,90,"ältere LBK","Linienbandkeramik","EN",8.7902212142945,50.298571734041,NA,-5469,-4942,-5624
"radon","Niedermerz 2","KN-1594",6180,50,"ältere LBK","Linienbandkeramik","EN",6.33333333,50.8666667,NA,-5266,-4846,-5326
"radon","Duderstadt","KN-1263",6310,55,"ältere LBK","Linienbandkeramik","EN",10.283333,51.516667,NA,-5381,-4999,-5476
"radon","Enkingen","KI-3375",6280,140,"ältere LBK","Linienbandkeramik","EN",10.583267211914,48.83528900116,NA,-5458,-4682,-5658
"radon","Wang-Ziegelberg","KN-4046",6900,300,"ältere LBK","Linienbandkeramik","EN",11.920251846314,48.497099500893,NA,-6275.05,-4795,-6685
"radon","Schwanfeld","Hd-14111",6343,42,"ältere LBK","Linienbandkeramik","EN",10.141839981079,49.917989494433,NA,-5444,-5065,-5475
