"","sourcedb","SiteName","LabCode","C14Age","C14SD","db_period","db_culture","Period","lon","lat","colors","median","tpq","taq"
"1","neonet","Piano Vento","A-4474",6130,90,"EN",NA,"EN",13.5667,37.3167,NA,-5062.5758953132,-4689,-5469
"2","neonet","Font del Ros","AA-16498",6561,56,"EN",NA,"EN",1.845261,42.09765,NA,-5518.89581573131,-5313,-5703
"3","neonet","Font del Ros","AA-16499",6243,56,"EN",NA,"EN",1.845261,42.09765,NA,-5204.7190534743,-4936,-5470
"4","neonet","Font del Ros","AA-16500",6058,79,"EN",NA,"EN",1.845261,42.09765,NA,-4965.49740977866,-4612,-5313
"5","neonet","Font del Ros","AA-16501",6307,68,"EN",NA,"EN",1.845261,42.09765,NA,-5271.68923711163,-4945,-5512
"6","neonet","Font del Ros","AA-16502",6370,57,"EN",NA,"EN",1.845261,42.09765,NA,-5344.83037811701,-5053,-5530
"7","neonet","Turo de Can Bellsola","AA-19187",6250,80,"EN",NA,"EN",2.179214,41.535439,NA,-5204.4578374641,-4836,-5478
"8","neonet","Abric de la Falguera","AA-2295",7410,70,"LM",NA,"LM",-0.5881,38.6662,NA,-6284.58547307328,-6016,-6473
"9","neonet","Abrigo de la Cativera","AA-23367",7979,60,"EM",NA,"EM",1.33365,41.185513,NA,-6886.23362388495,-6595,-7178
"10","neonet","Espeluche-Lalo","AA-32638",6560,85,"EN",NA,"EN",4.81722,44.541,NA,-5513.08647069589,-5214,-5736
"11","neonet","Espeluche-Lalo","AA-32639",6520,65,"EN",NA,"EN",4.81722,44.541,NA,-5477.48806095622,-5217,-5663
"12","neonet","Espeluche-Lalo","AA-32641",6585,60,"EN",NA,"EN",4.81722,44.541,NA,-5534.17457123887,-5316,-5719
"13","neonet","Espeluche-Lalo","AA-32642",7315,65,"LM",NA,"LM",4.81722,44.541,NA,-6162.98223441519,-5924,-6428
"14","neonet","Espeluche-Lalo","AA-32644",6220,60,"EN",NA,"EN",4.81722,44.541,NA,-5154.65619895234,-4848,-5468
"15","neonet","Abri du Monte Leone","AA-35788",7930,85,"MM",NA,"MM",9.184647,41.387823,NA,-6832.38312000872,-6461,-7313
"16","neonet","Baume d'Oullins","AA-53291",6233,64,"EN",NA,"EN",4.456943,44.342326,NA,-5170.37631854996,-4848,-5471
"17","neonet","Baume d'Oullins","AA-53292",6210,69,"EN",NA,"EN",4.456943,44.342326,NA,-5146.1084901196,-4804,-5471
"18","neonet","Baume d'Oullins","AA-53293",6168,63,"EN",NA,"EN",4.456943,44.342326,NA,-5111.62891038463,-4795,-5369
"19","neonet","Baume d'Oullins","AA-53294",6233,64,"EN",NA,"EN",4.456943,44.342326,NA,-5170.37631854996,-4848,-5471
"20","neonet","Baume d'Oullins","AA-53295",6363,65,"EN",NA,"EN",4.456943,44.342326,NA,-5337.56719352516,-5032,-5605
"21","neonet","Baume d'Oullins","AA-53296",6191,63,"EN",NA,"EN",4.456943,44.342326,NA,-5130.40388935267,-4805,-5462
"22","neonet","Abric de la Falguera","AA-59519",7526,44,"LM",NA,"LM",-0.5881,38.6662,NA,-6394.50583165731,-6224,-6565
"23","neonet","Baume d'Oullins","AA-61623",6398,77,"EN",NA,"EN",4.456943,44.342326,NA,-5368.23069400111,-5011,-5621
"24","neonet","Baume d'Oullins","AA-61624",6291,66,"EN",NA,"EN",4.456943,44.342326,NA,-5257.29919139046,-4941,-5478
"25","neonet","Baume d'Oullins","AA-61626",6381,76,"EN",NA,"EN",4.456943,44.342326,NA,-5353.0541655242,-5000,-5618
"26","neonet","Baume d'Oullins","AA-61627",6101,66,"EN",NA,"EN",4.456943,44.342326,NA,-5024.35088500265,-4717,-5314
"27","neonet","Baume d'Oullins","AA-61629",6386,67,"EN",NA,"EN",4.456943,44.342326,NA,-5359.1378252129,-5044,-5613
"28","neonet","Baume d'Oullins","AA-61630",6336,67,"EN",NA,"EN",4.456943,44.342326,NA,-5308.2362615924,-4995,-5529
"29","neonet","Baume d'Oullins","AA-61631",6407,67,"EN",NA,"EN",4.456943,44.342326,NA,-5378.07532680497,-5056,-5617
"30","neonet","Baume d'Oullins","AA-61632",6421,68,"EN",NA,"EN",4.456943,44.342326,NA,-5389.93627529388,-5062,-5620
"31","neonet","Su Carroppu","AA-80546",6156,93,"EN",NA,"EN",8.549996,39.196373,NA,-5093.58500411786,-4707,-5473
"32","neonet","Rio Tana","AECV-2011C",6790,70,"EN",NA,"EN",13.673419,41.940862,NA,-5685.68841715719,-5477,-5979
"33","neonet","Rio Tana","AECV-2012C",6860,60,"EN",NA,"EN",13.673419,41.940862,NA,-5744.42978674487,-5559,-5986
"34","neonet","Sion-Planta","B-4008",5980,30,"EN",NA,"EN",7.357827,46.232916,NA,-4866.55726294433,-4714,-5034
"35","neonet","Castel Grande di Bellinzona","B-4565",6270,40,"EN",NA,"EN",9.017,46.2,NA,-5254.53074119019,-5002,-5465
"36","neonet","Abri de Chable-Croix","B-4978",7410,100,"EM",NA,"EM",6.910954,46.297234,NA,-6272.58803366255,-5919,-6596
"37","neonet","Pizzo di Bodio","B-5088",6060,50,"EN",NA,"EN",8.736806,45.80328,NA,-4961.98260911324,-4719,-5275
"38","neonet","Pizzo di Bodio","B-5090",6320,80,"EN",NA,"EN",8.736806,45.80328,NA,-5286.02600234253,-4912,-5607
"39","neonet","Grotta Filiestru","BM-2139R",7760,130,"EN",NA,"EN",8.651545,40.453804,NA,-6620.79997565774,-6094,-7244
"40","neonet","Marcianese","BM-2250",6290,60,"EN",NA,"EN",14.382237,42.208409,NA,-5257.91756519077,-4952,-5476
"41","neonet","Marcianese","BM-2250R",6590,130,"EN",NA,"EN",14.382237,42.208409,NA,-5528.2510090479,-5042,-5977
"42","neonet","Marcianese","BM-2251",6250,90,"EN",NA,"EN",14.382237,42.208409,NA,-5199.84774853798,-4793,-5519
