"idf"	"site"	"period"	"median"	"code"	"lon"	"lat"	"sourcedb"
4	"Abri Pendimoun"	"EN"	-5689	NA	7.505944	43.812212	"neonet"
5	"Abri Pendimoun"	"EN"	-5689	NA	7.505944	43.812212	"neonet"
6	"Abri de la Font-des-Pigeons"	"EN"	-5792	NA	5.1667	43.3834	"neonet"
8	"Abri des Castelli"	"EN"	-5588	"Csb"	9.033342	42.255492	"neonet"
12	"Arene Candide"	"EN"	-5473	"Cfa"	8.4304	44.2353	"calpal"
13	"Arma dell'Aquila"	"EN"	-5707	"Cfa"	8.32967	44.204708	"neonet"
14	"Arma dello Stefanin"	"EN"	-5549	"Cfa"	8.0021	44.1044	"neonet"
18	"Baume de Fontbregoua"	"EN"	-5616	"Cfb"	6.23231	43.5637	"neonet"
20	"Bella"	"EN"	-5408	"Csa"	12.482	42.646	"bda"
26	"Cap Ragnon"	"EN"	-5420	NA	5.27	43.35	"calpal"
38	"Cialdino"	"EN"	-5417	"Cfb"	11.451691	44.144749	"neonet"
41	"Coppa Nevigata"	"EN"	-5773	"Csa"	15.830555	41.563888	"neonet"
42	"Corréardes"	"EN"	-5415	"Dfb"	5.7	44.6667	"bda"
43	"Crno Vrilo"	"EN"	-5778	"Dfb"	15.072992	44.528388	"neonet"
45	"Defensola"	"EN"	-5867	"Csa"	16.150436	41.893375	"neonet"
46	"Defensola"	"EN"	-5867	"Csa"	16.17	41.88	"calpal"
50	"Fagnigola"	"EN"	-5500	"Cfa"	12.687636	45.844969	"neonet"
51	"Favella"	"EN"	-5793	"Csa"	16.45	39.75	"bda"
52	"Favella della Corte"	"EN"	-5912	"Csa"	16.437459	39.684086	"neonet"
53	"Font des Pigeons"	"EN"	-5792	NA	5.1	43.4	"calpal"
54	"Font-des-Pigeons"	"EN"	-5502	NA	5.1667	43.3834	"bda"
58	"Gospodska Pecina"	"EN"	-5884	"Csa"	16.7537	43.1343	"neonet"
60	"Grapceva Cave"	"EN"	-5908	"Csa"	16.753065	43.133991	"neonet"
61	"Gritulu"	"EN"	-5723	NA	9.425046	42.89037	"bda"
62	"Grotta Continenza"	"EN"	-6099	"Csa"	13.563071	41.961674	"neonet"
63	"Grotta Corbeddu"	"EN"	-5605	"Csa"	9.48634	40.255253	"neonet"
64	"Grotta Filiestru"	"EN"	-5625	"Csa"	8.651545	40.453804	"neonet"
66	"Grotta Pollera"	"EN"	-5775	"Cfa"	8.04	44.7	"calpal"
68	"Grotta Sant'angelo di Ostuni"	"EN"	-5778	"Csa"	17.574791	40.738148	"neonet"
69	"Grotta Scaloria"	"EN"	-5633	"Csa"	15.906389	41.638889	"neonet"
71	"Grotta dei Cocci"	"EN"	-5633	"Cfa"	12.5106	42.5157	"neonet"
72	"Grotta dell'Edera"	"EN"	-5421	"Cfa"	13.6964	45.7569	"neonet"
74	"Grotta dell'Uzzo"	"EN"	-6305	NA	12.786694	38.109951	"neonet"
75	"Grotta della Pollera"	"EN"	-5834	"Cfa"	8.314602	44.200546	"neonet"
76	"Grotta delle Arene Candide"	"EN"	-5766	"Cfa"	8.32828	44.162304	"neonet"
77	"Grotta delle Arene Candide"	"EN"	-5766	"Cfa"	8.32828	44.162304	"neonet"
78	"Grotta di Settecannelle"	"EN"	-5531	"Csa"	11.755982	42.544185	"neonet"
81	"Grotte del Kronio"	"EN"	-5870	"BSk"	13.08	37.51	"neonet"
84	"Gudnja Cave"	"EN"	-6035	"Cfa"	17.68882	42.833349	"neonet"
87	"Kargadur"	"EN"	-5671	NA	13.950637	44.819147	"neonet"
90	"Konjevrate"	"EN"	-5581	"Cfa"	16.017	43.785	"calpal"
94	"La Marmotta"	"EN"	-5740	"Csa"	12.2745	42.1044	"neonet"
95	"Lagnano da Piede"	"EN"	-5616	"Csa"	15.68544	41.238856	"neonet"
96	"Lama Balice"	"EN"	-5507	NA	16.759	41.124	"neonet"
99	"Le Secche"	"EN"	-5671	NA	10.882	42.381891	"neonet"
106	"Maddalena di Muccia"	"EN"	-5530	"Cfa"	13.059873	43.073523	"neonet"
110	"Masseria Candelaro"	"EN"	-5569	"Csa"	15.750553	41.61289	"neonet"
