"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonetatl"	"Buholoup"	33	"Ly-1089 (OxA)"	1.14074	43.14536	"EN"	-5069	33	"Cfa"
"neonet"	"Campo Ceresole"	38	"OxA-21358"	10.402274	45.115752	"EN"	-5051	38	"Cfa"
"neonet"	"Cova de la Guineu"	83	"Beta-406998"	1.660888	41.421104	"EN"	-5088	83	"Csa"
"neonet"	"Cueva Hoyo de la Mina"	93	"Ua-19444"	-4.45926	36.729497	"EN"	-5081	93	"Csa"
"neonet"	"Esperit"	119	"Beta-432168"	2.9167	42.8334	"EN"	-5062	119	"Csa"
"neonetatl"	"Fuente Celada"	131	"UGA-7565"	-3.926308	42.26208	"EN"	-5044	131	"Csb"
"neonetatl"	"Germignac"	135	"GifA-96770"	-0.385844	45.57576	"EN"	-5009	135	"Csa"
"neonetatl"	"Gruta da Nossa Senhora das Lapas"	145	"ICEN-802"	-8.412194	39.66217	"EN"	-5023	145	"Csa"
"neonetatl"	"Lapa da Bugalheira"	164	"VERA-7048"	-8.3657	39.3087	"EN"	-5055	164	"Csa"
"neonetatl"	"Lède-du-Gurp"	174	"Ly-5318"	-1.149739	45.45552	"EN"	-5023	174	"Csa"
"neonet"	"Mas Neuf"	180	"Erl-11835"	4.35799	43.8056	"EN"	-5002	180	"Csa"
"neonet"	"Ostiano-Dugali Alti"	199	"Bln-2795"	10.26664	45.23257	"EN"	-5011	199	"Cfa"
"neonet"	"Paternanbidea"	205	"GrA-13673"	-1.768841	42.801319	"EN"	-5004	205	"Csb"
"neonet"	"Piano Vento"	211	"A-4474"	13.5667	37.3167	"EN"	-5063	211	"Csa"
"neonetatl"	"Prazo"	221	"Ua-20496"	-7.27915	41.051	"EN"	-5021	221	"Csa"
"neonet"	"San Nicolao di Pietra Colice"	244	"LTL-15545A"	9.5727	44.2557	"EN"	-5073	244	"Cfa"
"neonetatl"	"Sanglier"	246	"Ly-7791"	1.718974	44.7002	"EN"	-5017	246	"Cfa"
"neonetatl"	"Sima LJ-11"	261	"CNA-1125"	-4.169077	37.17489	"EN"	-5047	261	"Csa"
"neonetatl"	"Vale Boi"	277	"Wk-17842"	-8.8119	37.087	"EN"	-5011	277	"Csa"
"neonet"	"Valmayor XI"	280	"Beta-341167"	0.280112	41.361465	"EN"	-5002	280	"BSk"
"neonet"	"Vigne du Bioaux"	284	"Erl-13430"	3.385726	43.418213	"EN"	-5018	284	"Csa"
"neonet"	"Vizula"	286	"Hd-11733"	13.935	44.823	"EN"	-5081	286	NA
