"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"Abrigo de Aizpea"	2	"GrN-18421"	-1.257418	42.945936	"LM"	-5344	2	"Csb"
"neonet"	"Abrigo de Angel 2"	4	"Beta-254048"	-0.419966	40.708066	"LM"	-5363	4	"Csa"
"neonet"	"Abrigo de El Pontet"	7	"GrN-14241"	0.145791	41.119853	"LM"	-5344	7	"BSk"
"neonetatl"	"Abrigo de El Toral III"	9	"UGAMS-5403"	-4.7161699	43.40281	"LM"	-5409	9	"Csb"
"neonet"	"Abrigo de Kanpanoste Goiko"	11	"GrN-20214"	-2.4772	42.7548	"LM"	-5334	11	"Csb"
"neonetatl"	"Amoreiras"	21	"Q (AM85B2a)"	-8.375436	38.2464	"LM"	-4881	21	"Csa"
"neonet"	"Botiquera de los Moros"	29	"GrA-13268"	0.103834	41.04649	"LM"	-4936	29	"BSk"
"neonetatl"	"Cabeço da Amoreira"	33	"TO-11861"	-8.6846	39.1054	"LM"	-4857	33	"Csa"
"neonetatl"	"Cabeço da Arruda"	34	"TO-356"	-8.6815	39.1099	"LM"	-5332	34	"Csa"
"neonetatl"	"Cabeço do Pez"	35	"Q-2496"	-8.1334	38.1734	"LM"	-5397	35	"Csa"
"neonet"	"Cueva de Bajondillo"	57	"Beta-2841145"	-4.496648	36.622965	"LM"	-4974	57	"Csa"
"neonetatl"	"Cueva de Marizulo"	62	"Ua-10272"	-1.9755014	43.21932	"LM"	-5390	62	"Cfb"
"neonetatl"	"Cueva de los Canes"	66	"OxA-7148"	-4.799097	43.32604	"LM"	-5106	66	"Csb"
"neonetatl"	"Cuzoul de Gramat"	67	"Ly-14204"	1.69682	44.75252	"LM"	-5136	67	"Csb"
"bda"	"Doukanet el Khoutifa"	69	"SacA-42305"	9.5495	35.8516	"LM"	-5128	69	"BSk"
"neonetatl"	"El Mazo"	71	"OxA-X2600-8"	-4.7033963	43.40395	"LM"	-5300	71	"Csb"
"neonetatl"	"Fiais"	77	"TO-706"	-8.4227	37.3042	"LM"	-5218	77	"Csa"
"neonet"	"Font-des-Pigeons"	79	"Beta-267434"	5.1667	43.3834	"LM"	-5229	79	NA
"neonet"	"Gazel"	82	"Beta-398936"	2.421154	43.325325	"LM"	-4962	82	"Cfa"
"bda"	"Grande Rivoire"	83	"Beta-255118"	5.644342	45.221564	"LM"	-5401	83	"Cfb"
"neonet"	"Odmut"	100	"SI-2223"	18.853694	42.887835	"LM"	-5488	100	"Dfb"
"neonetatl"	"Poças de S. Bento"	108	"OxA-29169"	-8.4606	38.2525	"LM"	-4942	108	"Csa"
"neonetatl"	"Prazo"	109	"CSIC-1422"	-7.27915	41.051	"LM"	-5429	109	"Csa"
"neonetatl"	"Samouqueira I"	118	"TO-130"	-8.7933	37.8679	"LM"	-5344	118	"Csa"
"neonetatl"	"Vale de Cerdeira"	129	"GrN-25613"	-8.1418	41.6351	"LM"	-5004	129	"Csb"
"neonetatl"	"Várzea da Mó"	133	"Ua-46310"	-8.34	38.28	"LM"	-5268	133	"Csa"
