"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"Arma di Nasino"	25	"R-313"	8.03115	44.112705	"EN"	-5390	25	"Cfa"
"neonet"	"Baratin"	30	"Ly-4725"	4.8526	44.09385	"EN"	-5328	30	"Csa"
"neonet"	"Bazzarola"	31	"Beta-170023"	10.607877	44.690892	"EN"	-5329	31	"Cfa"
"calpal"	"Bevilacqua"	33	"P-3047"	16.61	38.92	"EN"	-5393	33	NA
"agrichange"	"Blachettes Sud"	34	"Ly-2794"	0.503886111	40.82166667	"EN"	-5354	34	"Csa"
"agrichange"	"Can Roqueta"	46	"Beta-189076"	2.13049975470855	41.539613	"EN"	-5374	46	"Cfa"
"neonetatl"	"Casa Montero"	52	"Beta-206512"	-3.526404	40.40427	"EN"	-5386	52	"BSk"
"neonet"	"Cascina Cascinetta"	56	"Beta-71945"	9.086047	45.066467	"EN"	-5313	56	"Cfa"
"neonetatl"	"Correio-Mor"	74	"ICEN-1099"	-9.1137	38.4936	"EN"	-5324	74	NA
"neonet"	"Cova Fosca"	80	"Beta-149009"	-0.13224	40.45999	"EN"	-5363	80	"Csa"
"neonet"	"Cova Fosca Vall Ebo"	81	"OxA-26047"	-0.163287	38.800601	"EN"	-5391	81	"BSk"
"neonet"	"Cova Freda de Montserrat"	82	"Beta-508800"	1.832708	41.57355	"EN"	-5385	82	"Csa"
"neonet"	"Cova Gran de Montserrat"	84	"Beta-508799"	1.831669	41.573736	"EN"	-5350	84	"Csa"
"neonet"	"Cova del Toll"	91	"OxA-26071"	2.150441	41.805629	"EN"	-5361	91	"Cfa"
"neonet"	"Cueva Lobrica"	99	"CNA-4611.1.1"	0.100692	42.515372	"EN"	-5386	99	"Dsb"
"neonetatl"	"Cueva del Mirador"	114	"Beta-197385"	-3.525716	42.33992	"EN"	-5322	114	"Csb"
"neonet"	"Font-Juvenal"	131	"Gif-7029"	2.342367	43.29709	"EN"	-5374	131	"Cfa"
"neonet"	"Grotta Mora Cavorso"	146	"Ly-3504"	13.169183	41.888384	"EN"	-5379	146	"Csa"
"medafricarbon"	"Kaf Taht el Ghar"	155	"Beta-409693"	-5.431	35.4965	"EN"	-5385	155	"Csa"
"neonet"	"La Draga"	162	"UBAR-314"	2.758536	42.126877	"EN"	-5380	162	"Cfa"
"neonetatl"	"La Ventana"	166	"Beta-166231"	-3.543984	40.82863	"EN"	-5322	166	"Csa"
"neonet"	"Lugo di Grezzana"	178	"DSH-299"	10.994079	45.562251	"EN"	-5328	178	"Dsb"
"neonet"	"Lugo di Romagna"	179	"LTL-13471A"	11.901914	44.464184	"EN"	-5306	179	"Cfa"
"bda"	"Mora Cavorso"	196	"Lyon-3504"	13.169183	41.888384	"EN"	-5379	196	"Csa"
"bda"	"Passo di Corvo"	208	"OxA-1853 ?"	15.6414	41.7118	"EN"	-5395	208	"Cfa"
"neonet"	"Penitenzeria"	212	"Beta-181784"	15.9178	37.9392	"EN"	-5386	212	NA
"neonetatl"	"Rouffignac"	243	"GrN-5512"	0.985638	45.01062	"EN"	-5373	243	"Csa"
"neonet"	"San Marco di Gubbio"	248	"OxA-1853"	12.598891	43.329629	"EN"	-5395	248	"Cfa"
"neonetatl"	"Senhora da Alegria"	263	"Beta-339602"	-8.2346	40.0751	"EN"	-5350	263	"Csa"
"neonet"	"Tumul del Padro"	277	"ICEN-645"	-3.11	42.63	"EN"	-5391	277	"Csb"
"neonet"	"Vinya en Pau"	291	"CNA-2488.1.1"	1.699466	41.344905	"EN"	-5386	291	"Csa"
