"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"radon"	"Anza, Anzabegovo"	2	"LJ-2519"	22	41	"EN"	-6413	2	"BSk"
"katsianis"	"Argissa Magoula"	4	"H-889-3080"	22.343997	39.659064	"EN"	-6600	4	"BSk"
"katsianis"	"Delphinos river"	6	"GrN-22437"	24.293122	35.355486	"EN"	-6809	6	"Csa"
"katsianis"	"Dikili Tash"	7	"SacA-22592"	24.312335	41.007211	"EN"	-6425	7	"Cfa"
"katsianis"	"Dimitra. Serres"	8	"Bln-3189"	23.864148	40.976793	"EN"	-6328	8	"BSk"
"katsianis"	"Elateia"	9	"GrN-2973"	22.768689	38.627448	"EN"	-6333	9	"Csa"
"bda"	"Franchthi"	11	"P-1527"	23.13503	37.4183	"EN"	-6795	11	NA
"katsianis"	"Fyllotsairi. Mavropigi"	13	"DEM-1685"	21.735498	40.467846	"EN"	-6577	13	"Cfa"
"katsianis"	"Giannitsa B"	14	"DEM-961"	22.413079	40.788133	"EN"	-6383	14	"BSk"
"katsianis"	"Knossos"	16	"OxA-9215"	25.163	35.298	"EN"	-6875	16	"Csa"
"katsianis"	"Korinos. Pieria"	18	"VERA-4427A"	22.605291	40.336028	"EN"	-6145	18	NA
"katsianis"	"Lefkopetra"	19	"DEM-1428"	22.175805	40.41971	"EN"	-6572	19	"Cfa"
"katsianis"	"Megalo Nisi Galanis"	20	"Beta-098971"	21.882193	40.379387	"EN"	-6205	20	"Cfa"
"katsianis"	"Nea Nikomedeia"	21	"OxA-3875"	22.266226	40.603447	"EN"	-6675	21	"BSk"
"katsianis"	"Orfeas cave. Alistrati"	22	"DEM-1999"	24.006114	41.023839	"EN"	-6469	22	"Cfa"
"katsianis"	"Paliambela. Pieria"	23	"DEM-2460"	22.508219	40.510965	"EN"	-6529	23	"BSk"
"katsianis"	"Porta. Ksirolimni Kozani"	26	NA	21.654753	40.269799	"EN"	-6153	26	"Cfa"
"katsianis"	"Sarakenos cave. Akraifnio"	28	"Poz-22183"	23.204497	38.45622	"EN"	-6893	28	"Csa"
"katsianis"	"Sesklo A"	32	"P-1681"	22.843662	39.355762	"EN"	-6593	32	"BSk"
"katsianis"	"Sesklo B"	33	"GrN-16844"	22.843314	39.353688	"EN"	-6388	33	"BSk"
"katsianis"	"Sesklo C"	34	"GrN-16845"	22.843564	39.356426	"EN"	-6427	34	"BSk"
"katsianis"	"Sidari"	35	"Lyon-3169"	19.698615	39.780078	"EN"	-6383	35	"Csa"
"katsianis"	"Varemenoi-Goulon"	37	"DEM-1336"	21.900587	40.15207	"EN"	-6376	37	"Cfa"
"radon"	"Vrsnik-Tarinci"	38	"Bln-339"	22.15	41.75	"EN"	-5834	38	"BSk"
