"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"brami15"	"Argissa"	3	"UCLA-1657A"	22.343997	39.659064	"EN"	-7127	3	"Csa"
"brami15"	"Asikli Höyük"	5	"GrN-28617"	34.2295	38.3497	"EN"	-8218	5	"BSk"
"brami15"	"Bademagaci"	7	"Hd-22340"	30.48	37.4	"EN"	-6865	7	"Csa"
"brami15"	"Barcin"	8	"GrA-52848"	29.53	40.21	"EN"	-6541	8	"Csa"
"brami15"	"Can Hasan"	9	"HU-11"	33.3667	37.25	"EN"	-7603	9	"BSk"
"brami15"	"Cukurici"	10	"Erl-14514"	27.352	37.931	"EN"	-6795	10	"Csa"
"brami15"	"Cyclops Cave"	11	"DEM-597"	24.15703	39.371388	"EN"	-8500	11	NA
"brami15"	"Elateia"	13	"GrN-2933"	22.768689	38.627448	"EN"	-7265	13	"Csa"
"brami15"	"Erbaba"	14	"AA-66741"	31.68	37.76	"EN"	-6524	14	"Dsa"
"brami15"	"Franchthi"	15	"P-2103"	23.13503	37.4183	"EN"	-8538	15	NA
"brami15"	"Kaletepe"	19	"GifA-100396"	34.56	38.28	"EN"	-8236	19	"BSk"
"brami15"	"Knossos"	22	"OxA-9215"	25.163	35.298	"EN"	-6875	22	"Csa"
"brami15"	"Maroulas"	25	"DEM-?"	24.4334	37.4167	"EN"	-8975	25	NA
"brami15"	"Musular"	26	"GrN-25901"	34.22	38.34	"EN"	-7565	26	"BSk"
"brami15"	"Sesklo"	30	"P-1681"	22.8167	39.3833	"EN"	-6593	30	"Csa"
"brami15"	"Suberde"	32	"OS-62227"	31.93	37.35	"EN"	-7309	32	"Dsa"
"brami15"	"Yumuktepe"	34	"Rome-467"	34.6	36.79	"EN"	-6821	34	"Csa"
"brami15"	"Çatalhöyük"	35	"PL-980525A"	32.81	37.65	"EN"	-7431	35	"BSk"
