LabCode	AlternativeLabCode	notes
Hd-16784-768	Hd-16784---768	None
Hd-16781-835	Hd-16781---835	None
Hd-16782-351	Hd-16782---351	None
Hd-16783-769	Hd-16783---769	None
UtC-2367	UtC-2367/-2369	None
Ly-151	Lyon-151	None
Ly-370	OxA-6700	None
Ly-368	OxA-6698	None
Ly-369	OxA-6699	None
Poz-81094	Poz-81094)	None
R-1146A	R-1146Aa	None
PL-980525-A	PL-980525A	None
KN-181	KN-1181	correct spelling found in 'Defranould, E., Philibert, S., & Perrin, T. (2022). Evolutionary Dynamics of Armatures in Southern France in the Late Mesolithic and Early Neolithic. Open Archaeology, 8(1), 905-924.'
