"Country"	"SiteName"	"Period"	"PhaseCode"	"Longitude"	"Latitude"	"tpq"	"taq"	"LabCode"	"C14Age"	"C14SD"	"Material"	"mat.life"	"bib"	"bib_url"
"Croatia"	"Nakovana"	"EN"	"Phase 2"	17.083588	43.00062	-5389	-5662	"OxA-18124"	6609	37	"wood charcoal"	"long life"	"Forenbaher & Perhoc 2015"	"Forenbaher15"
"Spain"	"La Draga"	"EN"	"Sector A, Phase II"	2.758536	42.126877	-4373	-5317	"UBAR-311"	5970	110	"wood charcoal"	"long life"	"Bosch et al. 2011"	"Bosch11"
"Spain"	"Cueva de Nerja"	"EN"	"Mina NM-12"	-3.844529	36.762871	-5230	-5606	"OxA-26086"	6466	33	"f"	"others"	"GarcÃ­a Borja et al. 2018"	"GarciaBorja18"
"France"	"Pont de Roque-Haute"	"EN"	"Pit 2"	3.36003	43.2927	-5531	-5987	"Ly-7607"	6850	65	"wood charcoal"	"long life"	"Manen et al. 2018"	"https://doi.org/10.1017/RDC.2018.98"
"Italy"	"Lugo di Romagna"	"EN"	"US 1171 â€“ Sect. V"	11.901914	44.464184	-5055	-5476	"LTL-13471A"	6335	45	"bone (human)"	"short life"	"Degasperi & SteffÃ¨ 2019"	"Degasperi19"
"Spain"	"Cova de l'Or"	"EN"	"VI-V"	-0.364154	38.84465	-4846	-5478	"K-1754/1008"	6265	75	"cereal"	"short life"	"Olaria 1994"	"Olaria94"
"France"	"Cap Ragnon"	"EN"	"n/a"	5.25	43.367	-4805	-5297	"Ly-4172 (SacA-7429)"	6120	40	"fauna"	"short life"	"Binder & SÃ©nÃ©part 2010"	"Binder10"
"Italy"	"Pavia di Udine"	"EN"	"Feature 7"	13.293304	45.98662	-4248	-4585	"LTL-4254A"	5560	45	"cereal"	"short life"	"Pessina et al. 2018"	"Pessina18"
"France"	"Clos de Roque / Chemin de Barjols"	"MN"	"Phase 1"	5.86528	43.459259	-4357	-4771	"Beta-321567"	5710	40	"bone (human)"	"short life"	"Remicourt et al. 2014"	"Remicourt14"
"Spain"	"Cova del Vidre"	"EN"	"II"	0.318547	40.857133	-5002	-5366	"OxA-26065"	6248	33	"fauna"	"short life"	"Bosch 2016"	"Bosch16"
"Italy"	"Scaramella di San vito"	"EN"	"Cut 6, Sounding I"	15.637926	41.710877	-5563	-6229	"R-350"	7000	100	"wood charcoal"	"long life"	"Alessio et al. 1969"	"https://doi.org/10.1017/S003382220001136X"
"Spain"	"Abric de la Falguera"	"LM"	"Phase VII, UE3201, intermedium fireplace"	-0.477198	38.702009	-5989	-6364	"Beta-171910"	7280	40	"wood charcoal"	"long life"	"Marchand & Perrin 2017"	"https://doi.org/10.1016/j.quaint.2015.07.059"
"Spain"	"Cueva de la Serreta"	"EN"	"E61"	1.719751	41.324445	-5230	-5617	"Beta-280862"	6490	40	"wood charcoal"	"long life"	"Oms et al. 2014"	"https://doi.org/10.3989/tp.2014.12123"
"Italy"	"Martinetti"	"EN"	"Sezione 6"	16.1593	41.8575	-3651	-4327	"Beta-80605"	5170	70	"wood charcoal"	"long life"	"Fiorentino et al. 2013"	"https://doi.org/10.1177/0959683613486942"
"Spain"	"Abrigo de Los Husos II"	"MN"	"Layer V"	-2.503877	42.613569	-3984	-4492	"Beta-161185"	5430	60	"n/a"	"others"	"Alday et al. 2018"	"https://doi.org/10.1016/j.quascirev.2017.11.006"
"Spain"	"Cova de la Guineu"	"MN"	"IIA-IIB-IIC"	1.660888	41.421104	-4062	-4714	"Gif-99114"	5580	70	"wood charcoal"	"long life"	"Allue 2005"	"Allue05"
"France"	"Grotte de Saint Marcel d'Ardeche"	"EN"	"Layer K"	4.54166147	44.32641344	-4850	-5616	"MC-2376"	6330	90	"wood charcoal"	"long life"	"Manen & Sabatier 2003"	"https://doi.org/10.3406/bspf.2003.12868"
"Italy"	"Fagnigola"	"EN"	"Structure 21"	12.687636	45.844969	-5209	-5660	"R-2551"	6483	74	"wood charcoal"	"long life"	"Mazzucco et al. 2020"	"https://doi.org/10.1371/journal.pone.0232455.s002"
"Italy"	"Grotta Scaloria"	"EN"	"Trench 5, Layer 3"	15.906389	41.638889	-4710	-5371	"Lj-4983"	6120	80	"wood charcoal"	"long life"	"Elster et al. 2016"	"Elster16"
"France"	"Abri de la Grande Rivoire"	"MN"	"NM1b"	5.638553	45.2058	-4344	-4679	"Ly-4423 (SacA-8125)"	5645	35	"wood charcoal"	"long life"	"Nicod et al. 2019"	"https://doi.org/10.1080/00934690.2019.1580077"
"Italy"	"Riparo Gaban"	"EN"	"Layer D8"	11.12435	46.093052	-3959	-5203	"Gif-3766"	5650	150	"wood charcoal"	"long life"	"Perrin 2005"	"Perrin05"
"Spain"	"Abrigo de Los BaÃ±os"	"EM"	"Layer 1b / 2b1"	-0.587684	41.03601	-6391	-7176	"GrA-24299"	7840	100	"wood charcoal"	"long life"	"Utrilla & RodanÃ©s 2001"	"Utrilla01"
"Italy"	"La Vela"	"MN"	"Burial IV"	11.103402	46.082925	-4242	-4602	"UtC-10556"	5555	48	"bone (human)"	"short life"	"Mottes et al. 2011"	"Mottes09"
"Italy"	"S.Andrea di Travo"	"MN"	"US 7, Q:2E"	9.548299	44.863461	-3961	-4308	"Hd-23012"	5259	26	"wood charcoal"	"long life"	"Visentini et al. 2004"	"Visentini04"
"Spain"	"Cueva de Nerja"	"LM"	"LM"	-3.844529	36.762871	-5843	-6221	"Beta-284146"	7150	40	"wood charcoal"	"long life"	"GarcÃ­a Borja et al. 2018"	"GarciaBorja18"
"Spain"	"Cova Fosca"	"EN"	"Zi -34 a -48"	-0.13224	40.45999	-4409	-5038	"Beta-148996"	5860	70	"wood charcoal"	"long life"	"GonzÃ¡lez-SampÃ©riz et al. 2008"	"https://doi.org/10.1016/j.yqres.2008.10.006"
"Italy"	"Penitenzeria"	"EN"	"187.5 cm (base of Stratum IV)"	15.9178	37.9392	-5067	-5475	"Beta-181785"	6340	40	"wood charcoal"	"long life"	"Robb 2000"	"Robb20"
"Spain"	"El Barranquet"	"EN"	"East"	0.005865	38.854996	-5224	-5627	"Beta-221431"	6510	50	"fauna"	"short life"	"Bernabeu et al. 2018"	"https://doi.org/10.1016/j.quaint.2017.03.071"
"Italy"	"Molino Casarotto"	"MN"	"Site 4, Sq 38K, Cut 5, Phase D of main hearth"	11.539	45.4656	-4245	-4646	"R-748a"	5570	50	"wood charcoal"	"long life"	"Alessio et al. 1974"	"https://doi.org/10.1017/S0033822200059658"
"France"	"Baume de Montclus"	"MM"	"Layer 17-30"	4.43047	44.26473	-5844	-7589	"Ly-306"	7780	250	"fauna"	"short life"	"Binder 1987"	"Binder87"
"Swiss"	"Abri-sous-roche des Gripons"	"EM"	"Layer 4 Pit"	7.17729552	47.36713833	-5747	-6396	"UZ-2599"	7205	80	"wood charcoal"	"long life"	"Perrin 2001"	"Perrin01"
"France"	"Grotte Gazel"	"EN"	"n/a"	2.42115358	43.3253254	-5214	-5526	"Ly-2243"	6415	40	"n/a"	"others"	"Manning et al. 2016"	"https://doi.org/10.5334/joad.40"
"France"	"Baume de Montclus"	"MM"	"Layer 16"	4.43047	44.26473	-5848	-7059	"Ly-542"	7540	160	"fauna"	"short life"	"Evin et al. 1971"	"Evin71"
"France"	"Abri Pendimoun"	"EN"	"US 41678"	7.505944	43.812212	-5417	-5725	"LTL-8006A"	6649	45	"cereal"	"short life"	"Binder et al. 2018"	"https://doi.org/10.4312/dp.44.4"
"Swiss"	"Chemin des Collines"	"LM"	"z.W Layer 9"	7.35382173	46.23250875	-6024	-6460	"CRG-928"	7400	60	"n/a"	"others"	"Hafner 2012"	"Hafner12"
"France"	"Vassieux en Vercors"	"EN"	"SONDAGE S29 HB XV A -67 CM"	5.37	44.89	-4369	-4991	"Ly-800"	5825	65	"wood charcoal"	"long life"	"Shennan & Steele 2000"	"Shennan00"
"France"	"Grotte du Gardon"	"MN"	"Layer 47"	5.38741547	45.95750431	-3981	-4358	"Ly-7111"	5369	46	"n/a"	"others"	"Perrin & Manen 2021"	"https://doi.org/10.1371/journal.pone.0246964"
"Italy"	"Arma di Nasino"	"EN"	"IXm-66"	8.03115	44.112705	-4541	-5208	"R-316a"	5955	65	"wood charcoal"	"long life"	"Alessio et al. 1968"	"https://doi.org/10.1017/S003382220001095X"
"France"	"Porto-Vecchio - Foce di Termini"	"MN"	"n/a"	9.28	41.62	-5076	-5615	"Ly-1323 (OxA)"	6415	60	"n/a"	"others"	"Costa 2004"	"Costa04a"
"Italy"	"Trasano"	"EN"	"Sector B (AB46), C2.1 "	16.636111	40.675555	-5523	-5798	"Ly-3952 (OxA)"	6760	40	"cereal"	"short life"	"Mazzucco et al. 2020"	"https://doi.org/10.1371/journal.pone.0232455.s002"
