"SiteName";"Country";"Period";"PhaseCode";"LabCode";"C14Age";"C14SD";"Material";"MaterialSpecies";"tpq";"taq";"Longitude";"Latitude";"bib";"bib_url"
"Abri de la Combe-Grèze";"France";"LM";"n/a";"Gif-446";6420;180;"wood charcoal";"n/d";-4688;-5970;3,180294;44,16505;"Delibrias et al. 1970";"https://doi.org/10.1017/S0033822200008171"
"Abri de La Poujade";"France";"MN";"6f-6a2";"MC-1238";6140;120;"wood charcoal";"n/d";-4545;-5479;3,189281;44,12237;"Delibrias et al. 1982";"Delibrias82"
"Abri de La Poujade";"France";"MN";"6c-5a";"MC-1297";5130;90;"wood charcoal";"n/d";-3633;-4333;3,189281;44,12237;"Delibrias et al. 1982";"Delibrias82"
"Abri de La Poujade";"France";"LMEN";"7A";"MC-1367";6990;120;"wood charcoal";"n/d";-5482;-6326;3,189281;44,12237;"Delibrias et al. 1982";"Delibrias82"
"Abri de La Poujade";"France";"LMEN";"7C2";"MC-2187";6620;120;"wood charcoal";"n/d";-5083;-5977;3,189281;44,12237;"Delibrias et al. 1982";"Delibrias82"
"Abri de La Poujade";"France";"LMEN";"7C4";"MC-2188";6710;130;"wood charcoal";"n/d";-5214;-6026;3,189281;44,12237;"Delibrias et al. 1982";"Delibrias82"
"Abri de La Poujade";"France";"LMEN";"8A";"MC-2251";6500;130;"wood charcoal";"n/d";-4941;-5839;3,189281;44,12237;"Delibrias et al. 1982";"Delibrias82"
"Abri de La Poujade";"France";"LMEN";"8A2";"MC-2371";6850;130;"wood charcoal";"n/d";-5365;-6218;3,189281;44,12237;"Delibrias et al. 1982";"Delibrias82"
"Abri de la Roche aux Fées";"France";"LM";"c.B3";"Ly-4533";6700;190;"wood charcoal";"n/d";-4946;-6226;0,991407;45,9847;"Tardiveau et al. 1990";"Tardiveau90"
"Abri de la Roche aux Fées";"France";"MN";"c.B2 (structure-murette)";"Ly-4536";5520;120;"wood charcoal";"n/d";-3948;-4830;0,991407;45,9847;"Tardiveau et al. 1990";"Tardiveau90"
"Abri de la Roche aux Fées";"France";"LM";"c.B3 (zone excentrée avec microlithes et poterie en association)";"Ly-4704";7360;80;"wood charcoal";"n/d";-5923;-6468;0,991407;45,9847;"Tardiveau et al. 1990";"Tardiveau90"
"Abri de la Roche aux Fées";"France";"LM";"c.B4 (top)";"Ly-4706";7535;110;"wood charcoal";"n/d";-6013;-6800;0,991407;45,9847;"Tardiveau et al. 1990";"Tardiveau90"
"Abri des Fées";"France";"LM";"c.B3";"Ly-4705";5280;390;"wood charcoal";"n/d";-2582;-5472;0,991407;45,9847;"Tardiveau et al. 1990";"Tardiveau90"
"Abri des Rocs";"France";"EN";"Secteur 2, carré N O";"Gif-9956";5300;50;"wood charcoal";"n/d";-3952;-4341;0,533333;46,7333;"Marchand 1999";"Marchand99"
