"Country"	"SiteName"	"Period"	"PhaseCode"	"Longitude"	"Latitude"	"tpq"	"taq"	"LabCode"	"C14Age"	"C14SD"	"Material"	"mat.life"	"bib"	"bib_url"	"locationID"	"secondLocationID"	"lbl"	"idf"	"colors"
"Spain"	"Cova Gran"	"EN"	"E9"	0.811061	41.925881	-4706	-5210	"Beta-265982"	6020	50	"plant seed"	"short life"	"Mora et al. 2011"	"https://doi.org/10.1002/jqs.1486"	"Beta-265982"	"1_selectedLayer"	"<b>Cova Gran</b> / plant seed (short life)<br/>date: 6020 +/- 50 BP [Beta-265982]<br/>tpq/taq: -4706 to -5210 cal BC<br/>period: EN <b>|</b> PhaseCode: <i>E9</i> <br/>ref: <a href=\"https://doi.org/10.1002/jqs.1486\" target=\"_blank\">Mora et al. 2011</a>"	1	"#FF1B1B"
"Spain"	"Cova del Frare"	"EN"	"c5"	2.019095	41.637334	-4717	-5206	"Beta-325687"	6020	40	"fauna"	"short life"	"Navarrete et al., 2017"	"https://doi.org/10.1002/oa.2598"	"Beta-325687"	"2_selectedLayer"	"<b>Cova del Frare</b> / fauna (short life)<br/>date: 6020 +/- 40 BP [Beta-325687]<br/>tpq/taq: -4717 to -5206 cal BC<br/>period: EN <b>|</b> PhaseCode: <i>c5</i> <br/>ref: <a href=\"https://doi.org/10.1002/oa.2598\" target=\"_blank\">Navarrete et al., 2017</a>"	2	"#FF1B1B"
"Spain"	"Cova del Frare"	"EN"	"c6"	2.019095	41.637334	-4847	-5304	"Beta-436332"	6150	40	"fauna"	"short life"	"Navarrete et al., 2017"	"https://doi.org/10.1002/oa.2598"	"Beta-436332"	"3_selectedLayer"	"<b>Cova del Frare</b> / fauna (short life)<br/>date: 6150 +/- 40 BP [Beta-436332]<br/>tpq/taq: -4847 to -5304 cal BC<br/>period: EN <b>|</b> PhaseCode: <i>c6</i> <br/>ref: <a href=\"https://doi.org/10.1002/oa.2598\" target=\"_blank\">Navarrete et al., 2017</a>"	3	"#FF1B1B"
"Spain"	"Balma de Son Matge"	"EM"	"n/a"	2.627107	39.693893	-3516	-5796	"CSIC-176"	5820	360	"n/a"	"others"	"Ramis & Bover 2001"	"https://doi.org/10.1006/jasc.2000.0548"	"CSIC-176"	"4_selectedLayer"	"<b>Balma de Son Matge</b> / n/a (others)<br/>date: 5820 +/- 360 BP [CSIC-176]<br/>tpq/taq: -3516 to -5796 cal BC<br/>period: EM <b>|</b> PhaseCode: <i>n/a</i> <br/>ref: <a href=\"https://doi.org/10.1006/jasc.2000.0548\" target=\"_blank\">Ramis & Bover 2001</a>"	4	"#0000CF"
"Spain"	"Balma de Son Matge"	"EM"	"n/a"	2.627107	39.693893	-5214	-5990	"QL-29"	6680	120	"organic"	"short life"	"Ramis & Bover 2001"	"https://doi.org/10.1006/jasc.2000.0548"	"QL-29"	"5_selectedLayer"	"<b>Balma de Son Matge</b> / organic (short life)<br/>date: 6680 +/- 120 BP [QL-29]<br/>tpq/taq: -5214 to -5990 cal BC<br/>period: EM <b>|</b> PhaseCode: <i>n/a</i> <br/>ref: <a href=\"https://doi.org/10.1006/jasc.2000.0548\" target=\"_blank\">Ramis & Bover 2001</a>"	5	"#0000CF"
"Spain"	"Cueva de Nerja"	"LM"	"unit 5 inf"	-3.844529	36.762871	-5556	-6467	"GaK-8975"	7130	150	"wood charcoal"	"long life"	"Serrano et al. 1997"	"https://doi.org/10.1006/qres.1997.1920 "	"GaK-8975"	"6_selectedLayer"	"<b>Cueva de Nerja</b> / wood charcoal (long life)<br/>date: 7130 +/- 150 BP [GaK-8975]<br/>tpq/taq: -5556 to -6467 cal BC<br/>period: LM <b>|</b> PhaseCode: <i>unit 5 inf</i> <br/>ref: <a href=\"https://doi.org/10.1006/qres.1997.1920 \" target=\"_blank\">Serrano et al. 1997</a>"	6	"#3737FF"
"Spain"	"Cueva de Nerja"	"EN"	"unit 5 sup"	-3.844529	36.762871	-4720	-5985	"GrN-GaK-8959"	6480	180	"wood charcoal"	"long life"	"Serrano et al. 1997"	"https://doi.org/10.1006/qres.1997.1920 "	"GrN-GaK-8959"	"7_selectedLayer"	"<b>Cueva de Nerja</b> / wood charcoal (long life)<br/>date: 6480 +/- 180 BP [GrN-GaK-8959]<br/>tpq/taq: -4720 to -5985 cal BC<br/>period: EN <b>|</b> PhaseCode: <i>unit 5 sup</i> <br/>ref: <a href=\"https://doi.org/10.1006/qres.1997.1920 \" target=\"_blank\">Serrano et al. 1997</a>"	7	"#FF1B1B"
"Spain"	"Cueva de Nerja"	"LM"	"unit 5 inf"	-3.844529	36.762871	-6222	-7530	"GaK-8974"	7890	170	"wood charcoal"	"long life"	"Serrano et al. 1997"	"https://doi.org/10.1006/qres.1997.1920 "	"GaK-8974"	"8_selectedLayer"	"<b>Cueva de Nerja</b> / wood charcoal (long life)<br/>date: 7890 +/- 170 BP [GaK-8974]<br/>tpq/taq: -6222 to -7530 cal BC<br/>period: LM <b>|</b> PhaseCode: <i>unit 5 inf</i> <br/>ref: <a href=\"https://doi.org/10.1006/qres.1997.1920\" target=\"_blank\">Serrano et al. 1997</a>"	8	"#3737FF"
"Spain"	"Cueva de Nerja"	"LM"	"unit 5 inf"	-3.844529	36.762871	-6097	-7592	"GaK-8962"	7960	200	"wood charcoal"	"long life"	"Serrano et al. 1997"	"https://doi.org/10.1006/qres.1997.1920 "	"GaK-8962"	"9_selectedLayer"	"<b>Cueva de Nerja</b> / wood charcoal (long life)<br/>date: 7960 +/- 200 BP [GaK-8962]<br/>tpq/taq: -6097 to -7592 cal BC<br/>period: LM <b>|</b> PhaseCode: <i>unit 5 inf</i> <br/>ref: <a href=\"https://doi.org/10.1006/qres.1997.1920\" target=\"_blank\">Serrano et al. 1997</a>"	9	"#3737FF"
"Spain"	"Cueva de Nerja"	"LM"	"unit 5 inf"	-3.844529	36.762871	-5480	-6630	"GaK-8973"	7160	180	"plant seed"	"short life"	"Serrano et al. 1997"	"https://doi.org/10.1006/qres.1997.1920 "	"GaK-8973"	"10_selectedLayer"	"<b>Cueva de Nerja</b> / plant seed (short life)<br/>date: 7160 +/- 180 BP [GaK-8973]<br/>tpq/taq: -5480 to -6630 cal BC<br/>period: LM <b>|</b> PhaseCode: <i>unit 5 inf</i> <br/>ref: <a href=\"https://doi.org/10.1006/qres.1997.1920\" target=\"_blank\">Serrano et al. 1997</a>"	10	"#3737FF"
